title,authors,tags,series,series_index,comments,identifiers,#subtitle,#subjects,#clasificacion,#libreria,#clasificacion_ia,#confianza_ia,#libreria_ia,#motivo_ia,#serie_ia,#serie_ia_index
"The Journal Keeper","Leerene Evans","Romance","","1.0","[Menage Amour: Erotic Paranormal Menage a Trois Romance, M/F/M, shape-shifters, HEA] Kidnapped by a pair of crazy men claiming to be her mates, Rianne Winthrop agrees to travel with them back to their homeland. At least until she can call the local psych ward to come pick them up. When she realizes they’ve also stolen the book that was to be her big break, she knows she can’t leave until she finishes the translation. Only then will the literary community truly accept her. At the urging of Merlin’s sister, Nikolas Krystoph and Dorin Ferghas travel to the human realm to retake the wizard’s journal and end up finding their mate. Though she believes them to be insane, the only insanity they suffer from is Rianne’s constant rejection. Even as they take her back to their homeland, Rianne resists making any commitment. But when one of their own begins to threaten her life, they will stop at nothing to keep her, and the journal, safe. ** A Siren Erotic Romance","isbn:9781622410606,goodreads:16001139,google:grak7qom-WIC,amazon:B008YGJNAK","","Romance","Dinamica · Poliamor/Trio, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Brujas/Magos, Tono · Cautiverio/Trata","Romantasy [REVISAR]","","","","","",""
"Possession Is Nine Tenths: Ardeur","Danielle Gavan","Fantasy, Adult, demons, Romance, angels, Werewolves, _Biblioteca.Romance.Contemporaneo, Paranormal, Paranormal Romance","Abbey of Angels","1.0","Desperate to evict her demon, Ardeur persuades the Angel of Death to intercede; but the consequences are worse than she realizes. He's playing for keeps. Her freedom might be the end of Ardeur's relationship with Brody and a life away from everything she never thought she'd have in the arms of a werewolf with dimples and a charmer's grin.","amazon:0986718718,goodreads:67686036,isbn:9780986718717","","Romance","Paranormal · Lobos/Shifters, Paranormal · Angeles y demonios, Subgenero · Paranormal romance","Paranormal [REVISAR]","","0","","Sin sinopsis ni tags utiles para clasificar.","",""
"Northman's Pleasure","Kate Hill","_Biblioteca.Romance.Contemporaneo","","1.0","<p>Legend says Grim Hammerhand is half wolf. Vowing never to marry, the muscular red-haired warrior saves his passion for the battlefield and the forge. That is, until the woman he secretly lusts after is abducted.Asgerd has loved Grim for years, only to be ignored by the object of her desire. She has eluded the bonds of marriage, hoping that someday Grim will notice her, but her dreams are shattered when she is captured and defiled by the brutal warrior Stein.After the king sends Grim to rescue his daughter and claim Stein's land, the passion between the couple finally ignites. In the end, Grim's mistrust of all women could destroy their one true chance for happiness.A Romantica&#174; historical erotic romance from Ellora's Cave","isbn:9781419947216","","","Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romance histórico [REVISAR]","","","","","",""
"Arrested by the Dragon: Gay Police Paranormal Romance","Julian Clearwater","M M Romance, gay, _Biblioteca.Romance.Contemporaneo, Romance, Shapeshifters, Paranormal Romance, Dragons, Paranormal","","1.0","**One was a petty thief with a secret desire for a respectable life.   The other was a rookie cop with a disturbing secret. **    The mysterious power of the dark blood would bond them in a way that neither could predict.  Dragon shifter Daryl Jameson has one goal—impress the police chief of his new department. The task is harder than he expected, though, because he suspects corruption. It doesn’t sit well with Daryl to ignore crime, and when a handsome vagrant is kidnapped, Daryl is determined to do what it takes to help him.  Rick Lamaar has survived on the streets by picking pockets. When he unwittingly tries to pick the pocket of the city’s biggest crime boss, Rick finds himself in a dangerous situation. If Rick trusts the hot police officer who seems everywhere on his heels, he could put them both in danger. With their hearts and their very lives on the line, Rick must find a way to save them both, and in doing so, allow himself to be saved.  Bonus strories included!","goodreads:35411657","","","Paranormal · Lobos/Shifters, Paranormal · Dragones, Subgenero · Policiaco/Detective, Representacion · LGBTQ+ (MM), Tono · Cautiverio/Trata, Subgenero · Paranormal romance","Fantasía [REVISAR]","","","","","",""
"Edie's Wolves: A Reverse Harem Paranormal Romance","Cara Morgan","Shapeshifters, _Biblioteca.Romance.Contemporaneo, Paranormal","","1.0","Blood to call them. Sex to bind them. Magic to seal the compact.  As the Stormhaven princess, Edie has been pampered and protected her whole life. She hates all of it—the stupid nickname, the oppressive care, and the fact that her parents think they have the right to decide every aspect of her life, including choosing her mates. Her family might have already sold her to a neighboring pack for a parcel of land, but that doesn’t mean she’ll play along. The Blackwood alpha swears he thought she was on board with the plan. Edie doesn’t know if she can believe him. But what are her other choices? Go out hunting for strangers? Let her wolf die? Edie is determined to choose her own mates, but with the heat already burning in her veins, she only has a few days to figure it out. Once the compact is sealed, there’s no going back. And if she’s going to give up her freedom, she intends to choose wolves worth surrendering for. **A spicy paranormal romance featuring explicit sex with multiple mates. For adult readers only.**","goodreads:52017107,amazon:B07WH48213","","","Dinamica · Harem inverso/Why choose, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Subgenero · Paranormal romance","Paranormal [REVISAR]","","","","","",""
"Claim the Crown: A Steamy Reverse Harem Romance (The Wolf Heir Trials Book 1)","Leia Hunter","_Biblioteca.Romance.Contemporaneo","","1.0","**Four Alpha Shifters. Three dark secrets. One girl they* shouldn't* want . . . **  Some games have no winners . . .  I never intended to compete for the position of Alpha Omega of the wolf clans. But when my name is drawn along with my best friend’s—and my worst enemy—I know I can’t back down.  The Trials are meant to be the ultimate test, of strength, power and fate’s call; but so far, everything about them is misleading. In our world, the answer to most every problem lies within our animal forms, but to survive this, I’ll need to know when to stay human.  If it’s up to me, I’ll change the nature of the Alphas forever. But first, I’ve got to prove to the others, the men who have snuck into my heart (and my bedroll) that they need each other as much as they need me.  I’ve read our history.    I’ve had the visions that others have had.    And the signs of the coming storm are everywhere . . .  ***A brand new reverse harem series, Perfect for fans of: Tracker Hive Academy, Witchling Series, Magic trails: Half-Blood Academy, Trial by Fae, Dragon's Gaurd and Eight Souls.** *","amazon:B07X7G6XBB,goodreads:52808832","","","Dinamica · Harem inverso/Why choose, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Dragones, Paranormal · Brujas/Magos, Paranormal · Fae/Feerico, Paranormal · Omegaverse","Romantasy [REVISAR]","","","","","",""
"Pies Surprise: The Billionaire and the Baker Lesbian Romance","Maxine Hall","Español.Romance.Romance LGBTQ+.Romance FF, English.Romance.Queer / LGBT+ Romance.Female-Female Romance, steamy romance, English.Romance.Queer / LGBT+ Romance, _Biblioteca.Romance.Contemporaneo","","1.0","One plump baker  
makes delicious baked goodies   
requires a financial investment  
will do ANYTHING within reason  
to keep the wolf from the door. 
One billionaire investor  
who is as hot as sin,  
arrogant and oozing self-confidence  
and has money to burn  
seeks a curvy full-figured lover  
and companion  
for her body and her personality. 
A 20,000 words short and steamy lesbian romance novel with a happy for now ending. **
","amazon:B087CXZZCP","","","Tono · Picante/Erotico, Arquetipo · Billonario/CEO, Paranormal · Lobos/Shifters, Representacion · LGBTQ+ (FF)","Romance contemporáneo [REVISAR]","","","","","",""
"Sins From My Stepmother: Mom's Forbidden Curves","C. R. R. Crawford","Themes.Explicit Sex, _Biblioteca.Romance.Contemporaneo","Mom's Taboo Curves","1.0","**TABOO MOM SON / MILF EROTICA**
**Twenty-two year old, college sophomore, Teddy Carlson has a confession to make...**
From a young age, Teddy has been aware of his step mom's beauty. Workmen would wolf whistle her on the street. His girlfriends would seethe with jealousy at her curves. Even Teddy couldn't help but steal a look when given the chance. 
Not that Teddy ever had any problems with the girls. Tall, confident and good looking, he's also the star forward of his college water polo team. 
But Teddy has a confession to make. 
One hot summer, while staying at his sprawling family home in Greenwich, Teddy and his mom, Jill, did a bad, bad thing. And that's not even the worst part. 
How long before Teddy and Jill realize the price of sin? 
Compulsively readable, *Mom’s Forbidden Curves* is forbidden, explicit, taboo erotica at its most wicked. **
","amazon:B08L6YYG1N","","","Dinamica · Prohibido, Tono · Picante/Erotico, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"Submitting to Her Mate: Drake","B. J. Wane","_Biblioteca.Romance.Contemporaneo, BDSM, Westerns, Themes.Explicit Sex, Shapeshifters","Cowboy Wolf","3.0","He swore he would never lose control again. Then she walked in the door. Roz Kingman believes her ex in-laws threats, and that she is living on borrowed time when she relocates to Idaho. Intending to work off her bucket list while she can, she decides the surly rancher, Drake McCullough, is the perfect man to appease her kinky fantasies, and doesn’t let his obstinance deter her. Drake’s tortured memories of escaping his two Taliban abusers keep him from getting involved in personal relationships other than his family. The moment he realizes the flirty brunette is his mate, he vows to protect them both by staying clear of her wiles, no matter how much he craves to make her his. When separate vandalism incidents appear to be direct threats against Roz, there is no way Drake will refuse to protect her, no matter the risk his involvement may pose to losing his shaky control. Will succumbing to each other offer a chance for redemption and freedom, or will the gamble cost them both everything? This steamy, contemporary Western romance contains elements of mystery, suspense, and power exchange. Please do not buy this book if any of these offend you.","amazon:B08R8VBXFW,isbn:9798593105301,goodreads:62033854","","","Tono · Picante/Erotico, Arquetipo · Vaquero/Western, Paranormal · Lobos/Shifters","Romance contemporáneo [REVISAR]","","","","","",""
"An Evening with Claire","Gaito Gazdanov","_Biblioteca.Romance.Contemporaneo","","1.0","<b>The lyrical first novel of youth and love by acclaimed modernist master Gaito Gazdanov, author of <i>The Spectre of Alexander Wolf</i></b><br>Two old friends meet nightly in Paris, trading conversational barbs and manoeuvring around submerged feelings. Throughout the ten years of their separation, thoughts of Claire lingered persistently in Kolya's mind. As the imagined romance finally becomes real, Kolya is thrown into recollections of formative moments from his youth in Russia, from his solitary early years through military school and service in the White Army in the Civil War, all leading to this union with Claire.<br>The first novel by the celebrated Russian master Gaito Gazdanov, <i>An Evening with Claire</i> is a lyrical, finely crafted portrait of a lost innocence and a vanished era.","isbn:9781782276067","","","Paranormal · Lobos/Shifters","Ficción general [REVISAR]","","","","","",""
"Nicky and the Night Owls: Part One","Sierra Cassidy","English.Romance.Why-Choose Romance, Themes.Reverse Harem, Themes.Explicit Sex, English.Romance.Contemporary Romance, Themes.LGBT, English.Literary.Contemporary Women, Themes.Polyamory, _Biblioteca.Romance.Contemporaneo","Nicky and the Night Owls","1.0","Nicky Marino's life suits her, or at least it would if her mom would stop nudging the beta about her dating slump. Now that her brother Sidney's gotten hitched, the pressure's on - and a new night shift job at the library makes for a tempting sanctuary.  All's quiet until an unexpected encounter leads to another...and another..and suddenly Nicky finds herself snagging the interest of an entire pack - and unwanted attention from someone she'd rather forget.  A six-way tale of blazing-hot encounters, tender affection, kinky fun, and self-discovery, Nicky and the Night Owls is a sweet omegaverse story you'll want to curl up with all night long. So go ahead - grab a cup of coffee and your favorite pastry: it's time to meet the pack.","amazon:B09RSP1PYN,ff:c/sierra-cassidy/nicky-and-the-night-owls-part-one,isbn:9781988931227,goodreads:216739075,grvotes:1903","","","Dinamica · Harem inverso/Why choose, Dinamica · Poliamor/Trio, Tono · Picante/Erotico, Paranormal · Lobos/Shifters, Paranormal · Omegaverse","Paranormal [REVISAR]","","","","","",""
