title,authors,comments,tags,languages,library_name,series,series_index,#language_code,#info,#world,#clasificacion,#subtitle,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Deadly Promises","Sherrilyn Kenyon & Dianna Love & Cindy Gerard & Laura Griffin","THESE HEROES ARE 100 PERCENT RAW, DANGEROUS, AND... UNDENIABLY SEXY.   
New York Times bestselling authors Sherrilyn Kenyon, Dianna Love and Cindy Gerard and rising romance star Laura Griffin mix seduction and suspense in three irresistible romantic adventures.   
From sultry international jungles to the rugged terrain of the American southwest, join the larger-than-life, scorching-hot alpha heroes of the Bureau of American Defense, Black Ops Inc., and the U.S. Navy SEALs for the pulse-pounding, heart-racing, toe-curling excitement. They’re cool under pressure, steamy under the sheets, and when the enemy strikes, there’s not a lethal mission these gorgeous men can’t handle...   
*Just Bad Enough*   
by Sherrilyn Kenyon and Dianna Love   
*Leave No Trace*   
by Cindy Gerard   
*Unstoppable*   
by Laura Griffin
","Arquetipo · Militar/SEAL, Genero · Romance de suspense, Paranormal · Lobos/Shifters, Tono · Picante/Erotico","eng","LRomance","","1.0","eng","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Antología de romantic suspense contemporáneo de varios autores.","",""
"Born to be Bad: One BAD Night","Sherrilyn Kenyon","In the all-new ""One BAD Night"" the bureau believes that agent Jason Banks has sold them out. Agent Samantha Winslow has never particularly cared for Jason and she volunteers to bring him in. Under orders to infiltrate his rogue mission and kidnap him, she is also trying to pull off the ultimate double-cross. But who would have guessed that Jason would be so pleased to be her captive? 
","Genero · Romance de suspense, Subgenero · Espionaje/Espias, Tono · Picante/Erotico","eng","LRomance","B.A.D. Agency","0.25","eng","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Agente captura a otro, romance de espías.","BAD","1.0"
"Born to Be Bad: BAD to the Bone","Sherrilyn Kenyon","In ""BAD to the Bone"" Marianne wins the Hideaway Heroine Sweepstakes and a chance to pretend to be the heroine in her favorite romance novel. Whisked away to a remote island, Marianne's daydreams become real when BAD agent Kyle Foster kidnaps her. 
","Genero · Romance de suspense, Subgenero · Espionaje/Espias, Tono · Picante/Erotico","eng","LRomance","B.A.D. Agency","0.5","eng","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Novela de la serie BAD, romance aventura con agentes.","BAD","1.0"
"Born to be Bad: Captivated By You","Sherrilyn Kenyon","In ""'Captivated' by You"" BAD agent Rhea must go undercover as a dominatrix to capture a deadly terrorist. Fortunately, Agent ""Ace"" Krux, whom she has long desired, is her training partner. Immediately, the roles of master and slave are blurred, and Rhea and Ace unleash a wealth of hidden desire.
","Genero · Romance de suspense, Subgenero · Espionaje/Espias, Tono · Picante/Erotico","eng","LRomance","B.A.D. Agency","0.75","eng","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Agente encubierto como dominatrix, romance erótico de espías.","BAD","1.0"
"B.A.D. Mission","Sherrilyn Kenyon","**Discover heart-racing intrigue in this Thriller Short of romantic suspense.   
Originally published in LOVE IS MURDER (2013),   
edited by #1 ***** New York Times* ****bestselling author Sandra Brown.**  
In this Thriller Short, #1 *New York Times* bestselling author Sherrilyn Kenyon pits the shadowy worlds of corporate espionage and the intelligence community against each other, then adds the disturbing complication of a shadow group bent on ushering in a new world order. Former intel agent Sam Garrett called it quits, but a scant two months later, his former boss pulls him back into the agency on an assignment he’s certain Sam will want to handle himself. Sam’s first love, a weapons-technology research-and-development expert has apparently turned traitor, and Sam is to interrogate and, if necessary, terminate her. Sam must determine if she’s guilty or innocent, knowing that her innocence might not be enough to keep her out of prison or spare her life.
","Genero · Romance de suspense, Subgenero · Espionaje/Espias, Tono · Picante/Erotico","eng","LRomance","B.A.D. Agency","4.5","eng","","","Subgenero · Espionaje/Espias, Tono · Angst/Drama emocional","","","Romance contemporáneo","100","Relato corto de la serie BAD, romance de espías.","BAD","1.0"
"Verdad Silenciada","Sherrilyn Kenyon & Dianna Love","Hunter Thornton Payne III ha perfeccionado el rol de playboy aburrido, lo que le permite operar como agente encubierto de la agencia BAD y moverse silenciosamente en los círculos sociales llenos de los ricos de siempre, los nuevos ricos y criminales desesperados por unirse a cualquiera de los dos grupos anteriores. Habiendo crecido en una familia que convirtió el ser disfuncional en un arte, Hunter protege su soltería más que a una amante y desprecia a los medios que se alimentan de la debilidad de los otros para proporcionar carnaza a los chacales sedientos de sangre. 
Actualmente se ocupa del Centro de Mujeres Renacentistas, una fundación auspiciada por la élite de Chicago con la intención de conseguir información de un topo que está dentro de la peligrosa organización de los Fratelli De Il Sovrano. Entonces la noche le trae una agradable sorpresa cuando localiza al hombre que podría ser la llave para cumplir su venganza personal. Pero primero tiene que encontrar y exterminar a un asesino que está matando a inocentes americanos conectado con un acuerdo armamentístico. La agencia cree que el asesino podría ser un oficial del MI6 (servicio de inteligencia secreto británico) que se ha vuelto un traidor, aunque luego se preguntan si en realidad lo que está haciendo es seguir órdenes de alguien más alto. 
La misión de Hunter da un giro inesperado cuando entra en escena una mujer con la que compartió una memorable noche en el pasado y se coloca en la línea de fuego impidiendo que Hunter pueda cumplir la misión de proteger a su país y a su familia para salvar a la única mujer que ha conseguido derribar sus defensas.
","Genero · Romance de suspense","spa","LRomance","B.A.D. Agency","4.0","spa","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Novela de la serie BAD, agente playboy encubierto.","BAD","1.0"
"Mentiras susurradas","Sherrilyn Kenyon & Dianna Love","Desde hace dieciseis anos, el agente del BAD, Carlos Delgado, vive recluido esperando la muerte. Su suerte se agota cuando la agencia para la que trabajaba intercepta inesperadamente una nueva amenaza que pone en riesgo la seguridad del magnate Fratelli de il Sovrano. Su unica esperanza es atrapar al misterioso informador que se oculta tras la identidad de Mirage y poder asi acabar con el plan cuya unica finalidad es crear un caos economico justo antes de las elecciones a la presidencia estadounidense.
","Genero · Romance de suspense","spa","LRomance","B.A.D. Agency","3.0","spa","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","100","Novela de la serie BAD, espías y conspiración.","BAD","1.0"
"El Fantasma de la Noche","Sherrilyn Kenyon","Después de perder a su madre en un asesinato, Terri Mitchell ha dedicado su vida a la justicia. Su nuevo caso como agente encubierto del Departamento de Defensa Americano le llega desde la Policía de Nueva Orleans, quienes pretenden atrapar a una banda de crimen organizado que parece tener relación con el terrorismo fundamentalista. De repente, los miembros de la banda empiezan a sufrir extraños accidentes y el rumor de un fantasma vengador sale a la luz. Terri no cree en cuestiones paranormales, pero el espeluznante encuentro con el fantasma la deja completamente desconcertada. 
Nathan Drake es un hombre con un único objetivo y sin nada que perder desde que le fue arrebatado lo que más quería: su familia. Ahora sólo pretende proteger inocentes vidas de asesinos empeñados en exterminar. 
Así, ambos se ven envueltos y unidos por un mismo punto débil que sobrepasa todos los niveles sociales y les obligará a confiar el uno en el otro si no quieren morir. Una búsqueda que les llevará a descubrir aspectos del amor y el deseso jamás imaginados.
","Genero · Romance de suspense, Tono · Picante/Erotico","spa","LRomance","B.A.D. Agency","2.0","spa","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico","","","Romance contemporáneo","90","Novela de la serie BAD con aparente fantasma que resulta ser persona, romantic suspense.","BAD","1.0"
"Actitud provocadora","Sherrilyn Kenyon","La agente Sydney Westbrook debe encontrar al asesino perfecto para realizar una misión de contraterrorismo. J.D. Stelle, un agente de las fuerzas especiales americanas cuya actitud contestataria lo obligó a permanecer en prisión durante una temporada parece el candidato ideal.  
Aunque Sydney ha estudiado a conciencia el currículum de Steele, lo que sabe sobre el atractivo agente es más bien poco; los dos pertenecen al mundo secreto de los espías y cualquier información de más puede poner en peligro la vida y la misión del agente. Por ello Sydney tarda en descubrir que tras la fachada altiva y arrogante de Steele se esconde un hombre que ni siquiera él reconoce y que, contra todo pronóstico, estará dispuesto a arriesgar su vida por salvar la de la única mujer a la que ha amado.
","Genero · Romance de suspense","spa","LRomance","B.A.D. Agency","1.0","spa","","","Subgenero · Espionaje/Espias, Tono · Picante/Erotico, Dinamica · Proximidad forzada","","","Romance contemporáneo","100","Romantic suspense de espías, serie BAD de Sherrilyn Kenyon.","BAD","1.0"
"Vengeance Road","Christine Feehan","**Christine Feehan takes romance full throttle in the second gripping novel in her #1 *New York Times* bestselling Torpedo Ink series.**  
Breezy Simmons was born into a ruthless motorcycle club—and now that she’s out, she’s never going to be that girl again. But when her past catches up with her, Breezy must go to Sea Haven to seek out the man who almost destroyed her. The man who chose his club over her and left her feeling used and alone.   
As vice president of Torpedo Ink, Steele is ride or die for the brothers he lived through hell with. He never thought he’d find something as pure as his feelings for Breezy, or that keeping her safe would mean driving her away with cruel words that turned her love for him to ash.   
Now, Steele won’t let her walk away twice. He’ll do whatever it takes to make Breezy his woman again—especially when he learns the real reason she came to him for help, and that the stakes are higher than he ever could have imagined…
","Ambientacion · Small town, Arquetipo · Mafia, Arquetipo · Moteros/MC, Dinamica · Familia encontrada, Genero · Romance contemporaneo, Paranormal · Vampiros, Publico · Adultos (+18), Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomance","Torpedo Ink","2.0","eng","","","Arquetipo · Moteros/MC, Dinamica · Segunda oportunidad, Tono · Oscuro","","","Romance contemporáneo","100","Romance contemporáneo de moteros con segunda oportunidad.","Torpedo Ink","1.0"
