title,authors,tags,series,series_index,comments,#language_code,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"The Romanov Bride","Robert Alexander","","Romanov","3.0","As the Russia of Nicholas and Aleksandra rushes full speed toward catastrophe, *The Romanov Bride* follows the lives of two revolutionary souls, that of Grand Duchess Elisavyeta (or Ella), sister of the tsaritsa Aleksandra, and that of Pavel, a simple village man yearning for more.  The life of Grand Duchess Elisavyeta begins like a fairy tale - born a princess of Germany, she marries the Grand Duke Sergei of Russia and enters the most lavish and magnificent court in the world, that of the mighty Romanovs, where she is renowned for her sumptuous fashion, jewels, and beauty, not to mention her kind heart. Her husband, however, possesses no such grace, and he rules Moscow as he does his wife, with a cold, hard fist.  For Pavel and his bride, though, living in Sankt Peterburg means sharing a crowded cellar with other families, and being barely able to afford bread. Nevertheless, they are full of optimism, for their grandparents were serfs and this young couple is the first to leave the countryside to seek a better existence.  However, after an explosive confrontation between peaceful demonstrators and tsarist soldiers, the lives of Ella and Pavel take two very different turns, but the fire of revolutionary Russia eventually links their fates forever.  Robert Alexander once again masterfully combines the power of true history and riveting storytelling to bring this fascinating and legendary period to life.","eng","","Literary, Fiction, Historical, Fiction - General, American Historical Fiction, Suspense, History, Europe, Suspense Fiction, Kings and rulers, Succession, Russia (Federation), Kings and rulers - Succession, Russia & the Former Soviet Union, Romanov, House of","","","Ficción general","95","Drama histórico en la Rusia zarista, dos líneas narrativas, sin romance central.","",""
"Esperando el monzón","Threes Anna","","","1.0","La India, 1995. Charlotte Bridgewater vive con su padre, un militar británico retirado, y con un único y fiel sirviente, en una antigua y destartalada mansión en el pequeño pueblo de Rampur. En el pasado, la casa acogió concurridas fiestas de sociedad, pero ahora Charlotte apenas tiene recursos para sobrevivir. 
Madan es un niño mudo que creció como un mendigo en las calles de Bombay. Sin embargo, gracias a un don casi mágico para la costura, se convierte en un prodigioso sastre. Años más tarde, sus destinos se cruzan cuando se organiza un baile de gala en Rampur y Madan acude para coser las mejores telas de las mujeres indias ricas del pueblo. Mientras todo el mundo permanece paralizado por el calor extremo propio de la llegada del monzón, Madan se instala en casa de Charlotte. A pesar de su mudez, se establece entre ellos de inmediato una extraña comunicación que los llevará a cumplir su destino. 
A través de una narración que va alternando pasado y presente, esta fascinante novela profundiza en la historia de cada personaje, ramificándose en infinitud de mundos paralelos que ponen de manifiesto el peso del destino a lo largo de más de medio siglo de historia de la India.
","spa","","Ficción Histórica, _Biblioteca.Ficcion Historica","","","Ficción general","80","Novela literaria histórica con destino y comunicación, sin romance central ni elementos de género.","",""
"El Niño Que Enloqueció De Amor","Eduardo Barrios","","","1.0","“Muchacho de ojos grandes y profundos”, lo describió [Daniel de la Vega](https://www.goodreads.com/author/show/8106187.Daniel_de_la_Vega ""Daniel de la Vega""), mientras [Gabriela Mistral](https://www.goodreads.com/author/show/140617.Gabriela_Mistral ""Gabriela Mistral"") se refería a “aquel niño insomne... que desesperadamente llama al amanecer”, y [Ángel Cruchaga Santa María](https://www.goodreads.com/author/show/1573046._ngel_Cruchaga_Santa_Mar_a ""Ángel Cruchaga Santa María"") decía: “Niño claro y sensible, olvidaste reír…” Fueron muchos los poetas que escribieron a este niño que enloquece de amor. La obra de [Eduardo Barrios](https://www.goodreads.com/author/show/856133.Eduardo_Barrios ""Eduardo Barrios""), excelente muestra de su artístico estilo, es uno de los grandes éxitos de la literatura chilena de todos los tiempos. Es una novela breve, fina, delicada, dolorosa y llena de un apasionado romanticismo que, en forma de diario íntimo, evoca la tragedia de un muchachito enamorado de una mujer adulta.
","spa","","_Biblioteca.Ficcion Realista","Dinamica · Amor no correspondido/Pining, Dinamica · Age gap, Tono · Angst/Drama emocional","","Romance contemporáneo","90","Diario íntimo de un niño enamorado de una mujer adulta, romance central y realista en Chile.","",""
"After Such Kindness","Gaynor Arnold","","","1.0","When the writer, Oxford scholar and photographer, John Jameson, visits the home of his vicar friend, Daniel Baxter, he is entranced by his youngest daughter, Daisy. Jameson charms her with his wit and child-like imagination, teasing her with riddles and inventing humorous stories as they enjoy afternoons alone by the river and in his rooms.  The shocking impact of this unusual friendship is only brought to light when, years later, Daisy, unsettled in her marriage, rediscovers her childhood diaries hidden in an old toy chest. Will reading the secrets held in those gilt-edged pages help fill the gaps in her memory and explain why the touch of her kind, considerate husband fills her with such revulsion?  Inspired by the tender and troubling friendship between Lewis Carroll and Alice Liddell, After Such Kindness demonstrates Gaynor Arnold's extraordinary 'capacity to imagine the truth behind the facts'. With the same assured feel for the Victorian period displayed in her prize-listed debut, Arnold brings to scintillating life an idiosyncratic genius and his timeless muse.","eng","","_Genre.Fiction.Historical","","","Ficción general","70","Novela literaria histórica inspirada en Lewis Carroll; enfoque en una amistad problemática.","",""
"All That Ails You: The Adventures of a Canine Caregiver","Mark J. Asher","","","1.0","Every dog deserves a forever home, and after being mistreated and given up several times, Wrigley has finally found his. The good-natured, smart mutt now spends his days as the house dog at SunRidge Assisted Living, comforting and doting on forty-five seniors. Wrigley has free run of the place—going where he senses he’s needed—but his preferred spot is beside his favorite resident, Marjorie Thompson.  A big shift comes to SunRidge when a cranky curmudgeon named Walter Kepsen moves in across the hall from Marjorie. Having arrived reluctantly at the urging of his son, Walter can't stand Wrigley or anything else for that matter. But a dramatic event is about to occur that will shake SunRidge, and make the old man see the house dog in a very different light.  Told in Wrigley’s voice, All That Ails You is an endearing story about the power of a dog’s love, when we need it most.","eng","","_Topics.Animals, _Topics.Inspirational, _Genre.Fiction.Contemporary","Tono · Cozy/Ligero","","Ficción general","100","Narrativa conmovedora sobre un perro en un hogar de ancianos, sin romance central ni elementos de género.","",""
"Love in the Days of Rebellion","Ahmet Altan","","Osmanlı Kuarteti","2.0","**Key Selling Points** Altan was arrested in September 2016 and is still imprisoned. An advocate for Kurdish and Armenian minorities, and a central figure in the Turkish cultural world (Nobel Prize winner Orhan Pamuk has written about his arrest and signed an open letter calling for his release), Op-eds published in the *Washington Post* (May 2020), *New York Times* (February 2018) Turkey's present portrayed through the lens of its turbulent recent past **Target Readership** For readers of *The White Castle* by Orhan Pamuk, T *he Bastard of Istanbul* by Elif Shafak, *Birds Without Wings* by Louis de Berni�res","eng","","Find Magic, Find Alien, Thriller, _Biblioteca.Misterio/Thriller","","","Ficción general","95","Drama histórico sobre la rebelión en Turquía, sin romance central.","",""
"Pater Noster","Carlos Santamaría","Historical Fiction.Middle Ages.Late.14th Century, _Biblioteca.Romance.Contemporaneo","","1.0","Pater Noster es la historia de una chica que busca la razón por la que su difunto padre, un prestigioso científico que estaba en las quinielas para el premio Nobel, abandonó todo a raíz de un misterioso descubrimiento en su laboratorio, y se trasladó a un pequeño pueblo de Castilla para buscar datos sobre un hecho referido en una carta enviada por un monje al emperador Carlos V. Parece que el hecho pudo cambiar la historia de Occidente. La carta cuenta la historia de un franciscano del siglo XIV (el Pater), el cual parece que era inmune a la Peste Negra que mató, probablemente, a la mitad de la población europea. Se trata de un personaje épico que fue maestro de teología a la vez que héroe de romances. Los romances antiguos narran cómo este franciscano de complexión gigantesca lucha contra moros e incluso reta al Diablo a singular combate. En cambio el manuscrito lo presenta como un sabio predicador que ejerce la caridad.","spa","","Historical Fiction.Middle Ages.Late.14th Century","Subgenero · Thriller psicologico, Tono · Oscuro","","Misterio·Thriller·Terror","70","Misterio en torno a un descubrimiento científico y un monje medieval inmune a la peste, con elementos sobrenaturales puntuales que no constituyen un mundo mágico.","",""
"Ben-hur","Lewis Wallace","_Biblioteca.Ficcion Historica","","1.0","El enfrentamiento entre Ben-Hur y Messala sirve de hilo conductor a una de las novelas históricas más célebres de todos los tiempos. La impresionante batalla naval narrada desde el punto de vista de un galeote, la apasionante carrera de cuádrigas en Antioquía o la emocionante huida de las presas de Torre Antonia permanecen en la memoria de millones de lectores. Edhasa ofrece por fin al lector español una versión íntegra, fiel al original y en una nueva versión del prestigioso traductor Manuel Serrat Crespo. Cuando Ben Hur, joven judío condenado a galeras, salva la vida de Quinto Arrio, un nuevo destino se abre ante él. Educado como un patricio romano, recorre el imperio en busca de su enemigo Mesala, al que se enfrenta en una mortal carrera de cuadrigas. Pero tanto en los penosos viajes que emprende, como en el fragor de las batallas, Ben Hur no olvida su condición de judío. Un día, el mago Baltasar le comunica el nacimiento de un niño que llegaría a ser Rey de los Judíos. A partir de entonces Ben Hur, con todas sus riquezas y su indomable energía, se pone al servicio de la nueva causa...","spa","","","","","Ficción general","95","Novela histórica clásica, sin romance central ni fantasía.","",""
"La saga de Yago","Manuel Velasco","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","A través de la mirada de Yago, el lector descubrirá el apasionante mundo nórdico del siglo XI. Las célebres expediciones de saqueo emprendidas por los vikingos, sus recorridos comerciales, su vida cotidiana y los grandes personajes de este pueblo que pasaron a la historia son parte de la trama de esta lograda novela. El día que Yago vio el asalto de un barco vikingo a su aldea de Galicia, su vida apacible cambió para siempre. Debió ser testigo de la muerte de su padre y fue capturado por aquella gente que parecía estar hecha para la guerra. Pero asumió, llegado el momento, que él también podía ser como sus captores. Y como un vikingo más, vivió todo tipo de experiencias nuevas por tierras escandinavas, y, entre otros personajes, conoció al rey Olaf y a Leif Eriksson, hijo del legendario Erik el Rojo.","spa","","Historical Fiction","","","Ficción general","90","Novela histórica sobre vikingos, sin romance central.","",""
"Océanos de Gloria","Alfonso Romero","Ficción Histórica, _Biblioteca.Ficcion Historica","Trilogía marina","1.0","Año 1771.  Inglaterra ha lanzado su desafío en los mares apoderándose de Menorca y Gibraltar, y amenazando la seguridad del todavía inmenso Imperio ultramarino. Ningún rincón de la monarquía española está a salvo de sus cañones.  En este marco grandioso y temible transcurre la historia del navío de línea Fénix y de Ismael Gutiérrez, uno de sus cabos de cañón. De forma involuntaria, Ismael se erige en espectador de una gran intriga, donde nada se sabe pero todo se sospecha.  En este contexto, nuestro protagonista lucha y se enamora, al tiempo que se adentra en el mundo de la América hispana: familiar y extraño al unísono, mágico y ebrio de luces y aromas exóticos.  Al final todo explota a su alrededor y el azar pone el destino del amor y de España en sus encallecidas manos.","spa","","*Not Found Id, Historical Fiction","","","Romance histórico","85","Romance central en contexto naval histórico del siglo XVIII.","",""
"The Thistle and the Rose","Linda Porter","_Biblioteca.Ficcion Historica","","1.0","Margaret Tudor, the elder sister of her more famous brother Henry VIII, is the single most important Tudor figure of this era that historians have consistently overlooked. Married at thirteen to the charismatic James IV of Scotland, a man more than twice her age, she would learn the skills of statecraft that would enable her to survive his early death, and to construct a powerful position in her adopted country of Scotland as she dealt with domestic issues as well as navigating international relations with England and France.
Often reviled for her hasty remarriage (and therefore the loss of the regency) the book shows that Margaret was damned if she did remarry and damned if she didn't. Her two subsequent marriages were both disastrous personally, but she never gave up. Her son attained the throne in his own right in 1528, largely through his mother's determination.
Margaret's story is also one of fierce sibling rivalry with her younger brother, Henry VIII, a series of matrimonial mishaps, and fighting off an unearned reputation as an over-sexed whinger fixated by clothes and jewels, Margaret was a complex (not always likeable) woman who had the true Tudor attributes of self-expression and a flair for the dramatic. She knew that you had to look like a queen.
Drawing on Margaret's extensive correspondence (more of her letters survive than of all the other Tudor queens put together), and contemporary poems and literature, Linda Porter fashions a compelling story of a misunderstood and underestimated Tudor monarch, whose determination to fight for the rights of her son, James V, is at the core of her dramatic life and indeed laid the groundwork for a future British state.
","eng","","","","","No-Ficción","95","Biografía histórica de Margaret Tudor.","",""
"Los últimos días de caballo loco","Dan O’Brien","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Valentine MacGillicuddy, alias Mac, era médico del ejército norteamericano durante la Gran Guerra Sioux de 1876, que concluyó con la rendición de Caballo Loco. Mac se hallaba entre los hombres que salieron al encuentro del legendario jefe indio para aceptar su rendición, pero descubrió con sorpresa que años antes había conocido a Caballo Loco en circunstancias muy distintas e ignorando su identidad. La amistad que se desarrolló a partir de aquel encuentro entre dos hombres tan distintos, un médico y un líder sioux, habría de profundizarse aún más cuando apresaron a Caballo Loco. Mac se vería enfrentado entonces a un terrible dilema. Basada en hechos históricos y narrada con extraordinario vigor, Los últimos días de Caballo Loco relata sin simplificaciones los últimos avatares de la sangrienta guerra entre blancos e indígenas a través de una emocionante historia de amistad, venganza, heroísmo, odio y valentía.","spa","","Historical Fiction","","","Ficción general","90","Novela histórica sobre amistad en la guerra sioux, sin romance central.","",""
"Nuestro agente en Judea","Franco Mimmi","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","A partir del momento en que Jesucristo empieza a ser un poco conocido y los ecos de sus acciones llegan a Roma, empieza a considerársele como una pieza más en el juego estratégico del Imperio Romano en Judea. Frente a la imposibilidad de llegar a acuerdos o pactos con las sectas más violentas, empieza a surgir la idea de que un mesías pacífico puede ser empleado con provecho para los intereses romanos. Para seguirle los pasos, se decide enviar a un hispano, Lucio Valerio Anduco, tras su pista para ver de sacar el máximo rendimiento. Sin saberlo, Jesús se convierte en una pieza más del enmarañado juego político, aunque su destino final será inesperado y no satisfará los deseos de Roma.","spa","","Historical Fiction","Subgenero · Espionaje/Espias","","Ficción general","90","Ficción histórica sobre espionaje romano, sin romance central.","",""
"Life and Death in Ephesus","Finlay McQuade","Historical Fiction, short stories, Ephesus, Ancient World, _Biblioteca.Ficcion Historica","","1.0","<p><strong>I shall reveal the true story of the destruction of the temple of Artemis...</strong></p><p><br></p><p>For over a thousand years, Ephesus, on the Aegean coast of what is now modern Turkey, was a thriving city. It was the site of the Temple of Artemis, one of the Wonders of the Ancient World, and a destination for religious pilgrimage long before the advent of Christianity. In the first century CE, St. John and St. Paul introduced Christianity to Ephesus, where it survived its turbulent beginnings and hosted, in 431 CE, the God-defining Council of Ephesus.</p><p>Life and Death in Ephesus is a collection of stories about major events in the history of the ancient city. Characters appearing in these stories include Herostratus, first to commit a ""herostratic crime""; Alexander, the warrior king; Lysimachus, his lieutenant and later his successor; Julius Caesar, Mark Antony, both conquerors of Cleopatra; Heraclitus, the philosopher who said, ""You can't put your foot in the...","eng","","Historical Fiction, Short Stories, Ephesus, Ancient World","","","No-Ficción","85","Relatos históricos sobre Éfeso, formato divulgativo.","",""
"Ao , El Último Cavernario","Marc Klapczynksi","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","","eng","","Historical Fiction","","","","0","Sin sinopsis ni suficientes datos.","",""
"El profeta","Khalil Gibran","_Biblioteca.Ficcion Historica","","1.0","&quot;Dinos todo lo que se te ha revelado sobre cuanto hay entre el nacimiento y la muerte&quot;. Con estas palabras la vidente Almitra invita a Al-Mustafá, el profeta, a que diga su verdad. Y él nos revela un mensaje que constituye una reflexión sobre el mundo y la vida: el amor, el matrimonio, los hijos, el comer y el beber, el trabajo, la alegría y la tristeza, el bien y el mal, el conocimiento de sí mismo, el comprar y el vender, la muerte. Sus temas, de un interés humano universal, aparecen como testimonios que liberan el espíritu de las sensaciones del vació y de falta de significados vitales. Son auténticos tesoros que el profeta ha encontrado en sus silencios y que nos envuelve el entusiasmo de descubrir nuestros propios valores.","spa","","Historical Fiction","","","No-Ficción","90","Colección de reflexiones poéticas y filosóficas sobre la vida, no ficción espiritual.","",""
"Juana la loca","Ludwig Pfandl","Biographies & Memoirs, _Biblioteca.Ficcion Historica","","1.0","Tal vez el libro más importante del autor: no se limita a la vida de la reina, sino que describe el marco histórico de una época clave en la historia de España. En esta biografía de Juana la Loca, madre de Carlos V, no se limita a dar la vida del personaje. La obra contribuye a clarificar, desde una perspectiva objetiva e imparcial, la ya manida &quot;leyenda negra&quot; con la que escritores, tanto extranjeros como españoles, han querido &quot;adornar&quot; la Historia verdadera de esa época, cargada de valores positivos. El conocimiento de Juana la Loca que vivió rodeada de figuras como Carlos V, Felipe II, el infante Don Carlos o Juan de Austria, es imprescindible para comprender y valorar los acontecimientos de tan fascinante período de la historia de España.","spa","","Biographies & Memoirs","","","No-Ficción","90","Biografía histórica de Juana la Loca, sin romance central.","",""
"Asi se templó el acero","Nicolai Ostrovski","Ficción Histórica, _Biblioteca.Ficcion Historica","","1.0","Este libro narra la vida de Pavel Korchaguin. En sus páginas, encontraremos a un obrero que, de la explotación sufrida desde niño junto con la educación marxista, va adquiriendo la conciencia de su condición proletaria. Recorremos la guerra mundial, la toma del poder por los obreros en 1917, su ingreso en el Ejército Rojo, la lucha sangrienta contra los intervencionistas y la consolidación del poder soviético.","spa","","Historical Fiction, *Not Found Id","","","Ficción general","90","Novela histórica y política sobre la revolución soviética, sin romance central.","",""
