title,authors,tags,series,series_index,comments,languages,library_name,#language_code,#world,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Inside Traitor","B. P. Stevens","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective","Silencer","2.0","When the public turns against you, what options do you have? As Emma Pepper and her squad continue hunting down the Silencer, they begin to discover secrets that could completely derail the case. Who is the Silencer? Why did he kill who he killed? And is there more to the story than the police know? The more they study the Silencer, the clearer it becomes that not only is the squad dealing with a serial killer, they are dealing with a pro. He continues to evade forensic evidence and hide from the police in this police procedural series, but that’s not all that Emma has to deal with. Hiding under the prying eyes of her bosses, the squad and Emma feel like they’re being rushed to find the Silencer - or they may lose their jobs. Things only take a turn for the worse when a story breaks on the local news and the Silencer becomes a local hero, not a villain. What can the police do now that the public doesn’t want the Silence behind bars? Who leaked the story? And in the midst of all the drama, can Emma somehow find a way to uncover who the Silencer is before he silences her?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Continúa la caza del Silencer; presión pública y secretos internos.","Silencer","1.0"
"Caught in the Crosshairs","B. P. Stevens","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective","Silencer","3.0","With her reputation on the line, Detective Pepper has nowhere to turn… As Detective Emma Pepper struggles to clear her name, all eyes are on her. All of her friends think that she betrayed all of them, and even Emma has to admit that they’ve got a point. When the press gets wind of these secrets, things only get worse… But who told the press? In this police mystery, Emma is suddenly in the crosshairs. With the Silencer still free on the streets, and questions at every corner, Emma realizes she’s in danger. No one believes her, and she is stuck carrying the weight of secrets she never intended to keep. But now, she feels like she’s being watched. Who’s watching? Do they want her dead, or do they want her help? Will Emma be able to survive the mountain of secrets she is falling into, or will it swallow her whole?","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Policiaco/thriller con detective persiguiendo a un asesino en serie, sin romance central ni elementos fantásticos.","Silencer","1.0"
"Hunt Down","B. P. Stevens","Genero · Misterio/Thriller, Subgenero · Policiaco/Detective","Silencer","1.0","Emma Pepper loves her job. As an NYPD detective, she has her eyes set on rising up in her career. She knows she can do it, and she knows she’s good at it. Being a good detective comes easy to her… but it seems catching the infamous serial killer, The Silencer, gives her pause. As the infamous killer continues to evade the police, Emma’s boss calls in help from the small-town police force, now known for stopping a bad cop named Andrew. Now, Emma is feeling a little crowded with the new cops crowding her space. However, she knows better than anyone with this killer, they need all the help that they can get. But, as clues and secrets start piling up, the serial killer seems to be the farthest thing from what they expected. It seems that suddenly, The Silencer is out for blood, and the police are running out of time before he strikes again. In this police thriller, follow in the steps of Emma Pepper and Harper Storm as they hunt down another bad man - hopefully before he hunts them.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Emma Pepper y Harper Storm colaboran contra el asesino en serie Silencer; thriller policiaco.","Silencer","1.0"
"Chasing Memories","B. P. Stevens","Genero · Misterio/Thriller, Representacion · Protagonista femenina fuerte, Subgenero · Policiaco/Detective","Shadow-Man","2.0","After chasing down who she was sure was the Shadow Man, Harper Storm finds herself face to face with the harsh reality of the world of cold cases. Injuries, crazy truths, and the idea that someone within the precinct might be hurting the case begin to unveil and threaten to tear Harper’s world apart. That is until she’s forced to reveal a horribly painful truth to everyone she knows… One that could cost her the case.  B.P Stevens kidnapping thrillers are perfect if you are trying to find police books with conclusions you didn't see coming!","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Thriller policíaco con Harper Storm y el caso del Shadow Man, secuestro de niños.","Shadow-Man","1.0"
"Dead Man Walking","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Ben Nevis","1.0","Detective Mike O’Connor is a grizzled veteran of the force who has seen it all and wouldn’t admit to having any soft spots. But he wasn’t prepared for his former partner to become the victim of a psychotic stalker. He will have to keep his emotions separate from his work, because what begins as a stalking case will rapidly turn into something far bigger, and more sinister, than anyone could have expected.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","El detective O'Connor investiga un caso de acoso que deriva en algo más siniestro.","DCI Mike O'Connor","1.0"
"Cold Blooded","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Murray & Burns","3.0","Everybody has got a past. Some people hope others will never find out about it. Some people would kill to do so. It's up to inspectors Murray and Burns to bring them to justice.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Los inspectores Murray y Burns investigan un asesinato vinculado a secretos del pasado.","DCI Murray","1.0"
"Vile Experiment","Duncan Wallace","Subgenero · Policiaco/Detective","DCI Kirk Ross","4.0","DCI Kirk Ross is first on the scene of a body found in the woods with surgical wounds and hideous, infected stitching.   
The grim possibilities are endless: organ harvesting scheme? Unlicensed surgeon? A serial killer with a penchant for torture?  
If Ross can’t crack the case, the bodies will pile up and the DCI may find himself the last victim.
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","DCI Kirk Ross investigates body with surgical wounds; serial killer elements. Part of a series.","DCI Kirk Ross series","1.0"
"Fatal Mercy","Duncan Wallace","Subgenero · Policiaco/Detective","Ian Forsyth MI5 Detective","2.0","The local police have asked retired spy Ian Forsyth to help investigate a series of deaths at a private cancer hospital, and he is more than happy to use his peculiar set of skills to do it.But what seemingly starts out as an investigation into a rogue doctor quickly becomes a conspiracy involving the most powerful members of society and international corporations bent on exploiting the most vulnerable.A conspiracy big enough to commit murder to keep secret.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Exespía investiga muertes en un hospital oncológico; conspiración corporativa.","Ian Forsyth","1.0"
"Cultish Following","Duncan Wallace","Subgenero · Policiaco/Detective","Inspector Finlay Files","2.0","Maisie Kirkwood left her parents’ home two years ago and hasn’t been seen since. Now, a homeless man has been found with the missing girl’s backpack and ID. His story will send Inspector Glenn Finlay on a race across Scotland, from the hustle and bustle of modern Edinburgh to a mysterious building deep in the forested highlands. It’s up to Scotland’s best detective to follow the trail of the missing girl and unravel the clues that will unmask a dark truth that has been buried for far too long.","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","100","Inspector Glenn Finlay sigue la pista de una joven desaparecida; misterio con trasfondo de secta.","Inspector Glenn Finlay","1.0"
"Blue Vengeance","Duncan Wallace","Subgenero · Policiaco/Detective","Logan Thorne DCI","1.0","When the Chief Constable is found dead, everyone looks to DCI Logan Thorne to solve the case. But once he finds a taunting message from the killer with the threat to strike again, there is only one a serial cop killer is on the loose.   
Will Thorne find him before he strikes again?   
Or is Thorne the next victim?
","eng","LMisterioThriller","eng","","","","Misterio·Thriller·Terror","95","Jefe de policía asesinado, asesino en serie de policías; thriller detectivesco.","DCI Logan Thorne","1.0"
