title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#world,#subtitle,#subjects,#title_opf,#clasificacion,#libreria
"Book of Night","Holly Black","English.Fantasy.Urban Fantasy, Themes.Heist Crew, Themes.Magic, Themes.Antihero, Themes.Morally Gray Characters, Themes.Explicit Sexual Content, Themes.Betrayal","The Charlatan Duology","1.0","Holly Black makes her adult debut with *Book of Night* , a modern dark fantasy of shadowy thieves and secret societies.   
In Charlie Hall’s world, shadows can be altered, for entertainment and cosmetic preferences—but also to increase power and influence. You can alter someone’s feelings—and memories—but manipulating shadows has a cost, with the potential to take hours or days from your life. Your shadow holds all the parts of you that you want to keep hidden—a second self, standing just to your left, walking behind you into lit rooms. And sometimes, it has a life of its own.   
Charlie is a low-level con artist, working as a bartender while trying to distance herself from the powerful and dangerous underground world of shadow trading. She gets by doing odd jobs for her patrons and the naive new money in her town at the edge of the Berkshires. But when a terrible figure from her past returns, Charlie’s present life is thrown into chaos, and her future seems at best, unclear—and at worst, non-existent. Determined to survive, Charlie throws herself into a maelstrom of secrets and murder, setting her against a cast of doppelgängers, mercurial billionaires, shadow thieves, and her own sister—all desperate to control the magic of the shadows.
","grvotes:85666,isbn:9781250812193,amazon:1250812194,goodreads:58293924","eng","LFantasia","","","","Book of Night","Subgenero · Fantasia urbana, Tono · Oscuro","Fantasía"
"The Poison Eaters and Other Stories","Holly Black","English.Fantasy.Urban Fantasy, Themes.Slow Burn, Themes.Portal to Another World, Themes.Forbidden Love, Themes.Morally Gray Characters","Modern Faerie Tales","3.5","Pick your poison: Vampires, devils, werewolves, faeries, or . . . ? Find them all here in Holly Black’s amazing first collection.   
In her debut collection, *New York Times* best-selling author Holly Black returns to the world of Tithe in two darkly exquisite new tales. Then Black takes readers on a tour of a faerie market and introduces a girl poisonous to the touch and another who challenges the devil to a competitive eating match. Some of these stories have been published in anthologies such as *21 Proms, The Faery Reel,* and *The Restless Dead* , and many have been reprinted in many “Best of ” anthologies.   
*The Poison Eaters* is Holly Black’s much-anticipated first collection, and her ability to stare into the void—and to find humanity and humor there—will speak to young adult and adult readers alike.   
A Junior Library Guild Pick. Illustrated by Theo Black.   
Holly Black is the author of *Tithe: A Modern Faerie Tale* (an ALA Best Book for Young Adults) and two related novels, *Valiant* (Norton Award winner) and *New York Times* bestseller *Ironside*. Her latest novel, *Black Heart* is the third of a new series, The Curseworkers. She and Tony DiTerlizzi created the best-selling Spiderwick Chronicles. Holly lives in Massachusetts with her husband, Theo, in a house with a secret library.
","isbn:9781931520638","eng","LFantasia","","","","The Poison Eaters and Other Stories","Subgenero · Fantasia urbana, Paranormal · Fae/Feerico","Paranormal"
"A Malevolent Magic in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","4.0","**As evil curses go, this one’s the worst ...** Marianne is finally beginning to feel safe in Faerywood Falls. She’s come to grips with her new magical abilities, and so far, none of the powerful Gifted factions in town have worked out her faery origins. She’s even attracted the interest of two very different men – even if she’s not sure how far to trust either of them. But everything falls apart with the sudden death of the only person around who seems to know the truth about Marianne’s past. Reeling from the blow of losing her best chance at uncovering more information about her biological mother, Marianne sets out to learn who’s behind the tragedy. When her investigation brings her into conflict with the Blackburn family, she’ll have to discover once and for all just how far the vampire clan might go to protect their own secrets.","mobi-asin:B07P1M5J8D,goodreads:44312464,amazon:B07P1M5J8D","eng","LFantasia","","","Paranormal Cozy Mystery","A Malevolent Magic in Faerywood Falls","Subgenero · Cozy mystery, Paranormal · Vampiros, Dinamica · Triangulo amoroso","Misterio·Thriller·Terror"
"The Twisted Tale of Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","10.0","All of the dangerous secrets and tensions that have been building in Faerywood Falls over the past year finally come to a head when Marianne goes up against the magical creature that has been tormenting the locals for so long. She joins forces with a dangerous monster hunter to try and bring down her enemy once and for all. With the end near, how will Marianne resolve her uncertain relationships with the two men who have been dividing her heart since the beginning? And will she find her place at last in the web of powerful magic woven through Faerywood Falls?","mobi-asin:B07R96VVVG,amazon:B07R96VVVG,goodreads:45794693","eng","LFantasia","","","Paranormal Cozy Mystery","The Twisted Tale of Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero, Dinamica · Triangulo amoroso","Misterio·Thriller·Terror"
"A Criminal Celebration in Hillbilly Hollow","Blythe Baker","English.Fantasy.Mystery Fantasy","Ozark Ghost Hunter Mystery","8.0","It’s finally here. The week of Emma and Billy’s long-awaited wedding has arrived. There’s just one problem: a dead body has turned up and half the wedding party are suspects.  Can Emma use her ghost whispering powers to solve one last crime and still make it to the church in time for her vows? Or will the big day end in tragedy?","goodreads:45175190,mobi-asin:B07QTPRXD1,amazon:B07QTPRXD1","eng","LFantasia","","","Paranormal Cozy Mystery","A Criminal Celebration in Hillbilly Hollow","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"A Deadly Deed in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","5.0","**When just one evil curse isn’t enough ...** Marianne is still dealing with the fallout from her last paranormal investigation when a new disaster strikes – this one closer than ever to home. With the daughter of an acquaintance turning up dead, everyone’s a suspect, even members of Marianne’s own family. Calling on a new magical gift she didn’t know she had, Marianne must once again battle the forces of darkness at work in Faerywood Falls. But with a killer more subtle than any she’s faced yet, Marianne will have to think fast before she becomes the next victim.","amazon:B07NZF1RC4,goodreads:44312462,mobi-asin:B07NZF1RC4","eng","LFantasia","","","Paranormal Cozy Mystery","A Deadly Deed in Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"A Dreadful Death in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","9.0","The mysterious death of a local antique collector has all of Faerywood Falls whispering about a paranormal secret. Meanwhile, a reclusive monster hunter who has settled in the forest has unexpectedly reached out to Marianne for help. Can Marianne uncover the identity of a murderer and avoid the attacks of the forest monster, all while continuing to hide her magical abilities?","goodreads:45794691,amazon:B07R979S8H,mobi-asin:B07R979S8H","eng","LFantasia","","","Paranormal Cozy Mystery","A Dreadful Death in Faerywood Falls","Subgenero · Cozy mystery, Tono · Cozy/Ligero","Misterio·Thriller·Terror"
"The Curious Curse of Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","2.0","**In Faerywood Falls, being Gifted is a curse ...** After finishing a recent murder investigation, Marianne hopes she’s bought a little time to delve into secrets closer to home. But that possibility is shattered the night she finds herself witness to a terrible crime. Now, Marianne must go up against a powerful spell weaver – while mastering a new ability to communicate with the dead. To make matters worse, a vengeful ghost dredges up the past, and an attractive vampire makes a reappearance. With a certain werewolf seeming determined to conceal the truth, Marianne will have to dig deep if she wants to outwit everyone who’s trying to bury the past.","mobi-asin:B07P1JDPGP,amazon:B07P1JDPGP,goodreads:44157309","eng","LFantasia","","","Paranormal Cozy Mystery","The Curious Curse of Faerywood Falls","Subgenero · Cozy mystery, Paranormal · Vampiros, Paranormal · Lobos/Shifters","Misterio·Thriller·Terror"
"A Sinister Spell in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","1.0","**Living under an evil curse is bad ... but dying under one is worse.** Marianne Huffler is cursed – and not just with the ghastly middle name of Prudence. Until she can figure out the magic secrets of her past, she’s doomed to suffer permanent bad luck – and the occasional attempt on her life. Leaving her hometown of Hillbilly Hollow, Marianne travels to the mountains of Colorado, where she hopes to find answers. What she doesn’t expect to find? Dead bodies! But when corpses start popping up, Marianne gets drawn into investigating the mysterious deaths. With a cunning vampire, a good looking werewolf, and an angry spell weaver among the suspects, can Marianne catch a killer ... before the killer catches *her*?","mobi-asin:B07NYGWWZB,goodreads:44157285,amazon:B07NYGWWZB","eng","LFantasia","","","Paranormal Cozy Mystery","A Sinister Spell in Faerywood Falls","Subgenero · Cozy mystery, Paranormal · Vampiros, Paranormal · Lobos/Shifters","Misterio·Thriller·Terror"
"A Dangerous Deceit in Faerywood Falls","Blythe Baker","English.Fantasy.Mystery Fantasy","Mountain Magic Mysteries","3.0","**In Faerywood Falls, magic is the curse that keeps on giving.** Marianne’s investigation into her past has stalled. The only person who seems to have the answers she needs is a manipulative spell singer – and she’s not talking. To make matters worse, Marianne is accidentally stealing other magic users’ gifts again, and she can’t seem to stop herself. When yet another hunter turns up dead in Faerywood Forest, Marianne can’t ignore the mysterious danger plaguing the woods anymore. Not even if the trail of clues leads her to a trusted friend with something to hide. With the evidence implicating a man she cares for, can Marianne get to the bottom of a string of killings, before the murderer strikes again?","amazon:B07P2PBV72,goodreads:44263534,mobi-asin:B07P2PBV72","eng","LFantasia","","","Paranormal Cozy Mystery","A Dangerous Deceit in Faerywood Falls","Subgenero · Cozy mystery, Paranormal · Vampiros, Paranormal · Lobos/Shifters","Misterio·Thriller·Terror"
