title,authors,tags,series,series_index,comments,languages,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Treason","J. A. Cauldwell","Fantasy, political fantasy, fantasy thriller, Find Magic, Thriller, _Biblioteca.Fantasia.Contemporanea","Treason and Truth","1.0","**From the past comes magic, from the present, danger, gradually colliding.**
Bereavement stalks the corridors of power as treason brews in the taverns of Oedran. Sibling jealousy threatens the stability of the FitzAlcis' empire whose stories tell of magic and mundanity. Strangers weave a tale of power unaware of their destination. There are beginnings and ends so tangled that any one may be both.
When the lives of King Adeone and Sergeant Wynfeld become inextricably linked one fateful day, neither expects a chance encounter to become a dance of destinies. As Wynfeld grapples with his new life in Oedran, Adeone must protect those he loves. Soon danger closes in. Can Wynfeld hunt down the men threatening the King in time?
","eng","Fantasy, political fantasy, fantasy thriller, Find Magic, Thriller, _Biblioteca.Fantasia.Contemporanea","Subgenero · Fantasia epica","","Fantasía","90","Epic fantasy with magic, treason, and king; no romance.","",""
"Aru's Realm","H. A. Byrd","","","1.0","Aru lives in a world without the concept of war. It is a time of steam trains and horse-drawn carriages . . . and hazardous lizards.   
Each chapter of Aru’s Realm immerses the reader in a different color, playing on the association of hues with emotions and events, the tints and shades of reality. Carefully integrated details paint an impression of blue, or red, or green—   
In the beginning, it is black. Deep in the woods, we meet Aru, a girl on the threshold of adulthood. Before her aged grandma leaves her alone in the world, she wants to see Aru secure in a place where her differences don’t cause her so much grief. But unbeknownst to both, a sorcerer has other plans.   
Because Aru is not like the others, she is able to look beyond what is considered normal. But is it her unique traits that have attracted the attention of this unknown master of magic? Who is this person that is meddling in her life? Why single her out to torment?   
Aru’s Realm is a story of power, compassion, and courage. Treading the fine line between imaginative thinking and madness, Aru must learn to handle her own abilities, live her own life, and at the same time work with her friends to save more than one world.   
For inter-library loan, the OCLC number is 1270975490
","eng","Fantasy, Find Magic, vampire, Find wizard, Find Witch, _Biblioteca.Fantasia.Contemporanea","Ambientacion · Victoriano, Subgenero · Steampunk, Tono · Cozy/Ligero","","Fantasía","80","Steampunk fantasy with a girl who sees beyond the normal.","",""
"A Mischief in the Woodwork","Harper Alexander","","","1.0","In a land rife with unnamed terrors and untold danger...  A generation ago, something began to fail in the foundations of our country. Devoid of a culprit, our cities began to crumble, becoming a derangement of ruin and decay. No one could put a name to what began to happen in the nation, that day, and thus was born the term 'mischief' for the dark things that began to creep through the woodwork.  I, Avante, am a slave of this dark time. But for all its terrors, it's a good time to be a slave. The Masters, fragile and loathe to be surrounded by anything crude or horrific, have retreated upstairs, and locked themselves away. They don't come out.  As such, we're as good as free, now. Free to take the ruined land for ourselves. The only pitfall, really, is the challenge of surviving in such a forsaken place.  The Masters are not the only ones afraid to set foot out of their cowering domains. Even the angels, it seems, have to be charged with standing their ground - lest they run from this place.  Lest they run headlong from our beloved, forsaken Dar'on.  ...is there anyone who can rise above the grueling task of survival to fight for greater things, and put a name to the mischief haunting the age?","eng","Fantasy, _Biblioteca.Fantasia.Contemporanea","Tono · Oscuro, Paranormal · Angeles y demonios, Subgenero · Fantasia epica","","Fantasía","90","Dark fantasy ruined world with angels; no central romance.","",""
"Dead Jack and the Pandemonium Device","James Aquilone","","Dead Jack","1.0","Pandemonium: a twilight dimension of nightmare creatures, mythical beings, the undead, and everything in between. To Dead Jack, it's hell sweet hell. In the first book of the series, the tortured, drug-addicted detective stumbles upon his most dangerous case yet, and the fate of the world hangs in the balance. Can the zombie PI and his associate, the homunculus Oswald, save the day? It won't be easy. The duo must face rogue leprechauns, ghost pirates, a sex-obsessed shark woman, sycophantic ghouls, an insecure fire demon, and a goateed maniac who calls himself the Duke of Pandemonium. Good thing Jack's getting paid in a ton of fairy dust!","eng","_Genre.Horror.Supernatural Horror, _Genre.Fantasy.Urban Fantasy, humour, _Genre.Mystery, _Genre.Fantasy.High Fantasy, _Genre.Science Fiction.Hard Science Fiction, _Genre.Fantasy.Paranormal Fantasy","Tono · Oscuro","","Fantasía","90","Mundo de fantasía (Pandemonium) con criaturas; zombie PI resolviendo caso, sin romance central.","Dead Jack","1.0"
"Whisper","Cheryl Twaddle","Fantasy, Young Adult, dimensions, _Biblioteca.Fantasia.4 Comercial","","1.0","In the universe Dougall encompasses all that is bad and Gwynn represents the good. They have battled throughout the centuries, each creating their own warriors and soldiers. One of Gwynn's warriors has been lost inside the body of a man from the Earth dimension and it will take a Soul-healer named Whisper to save him.","eng","Fantasy, Young Adult, dimensions","","","Fantasía","90","Batalla entre el bien y el mal en dimensión fantástica; sin romance central.","",""
"Legacy's Price","Matthew Sprange","Fantasy, _Biblioteca.Fantasia.4 Comercial","","1.0","<p>Lucius Kane, thief and Shadowmage, now rules over the thieves' guild in the city of Turnitia. The new ruling lord has proven willing to work with the thieves, and relations with the beggars and Shadowmages guilds are relaxed and friendly. Now, however, an ancient artefact calls to Lucius, one that will unlock the secrets of his own heritage. But such power inevitably attracts others, determined to harness its mystical energies for their own ends; and a game of brinksmanship erupts between the two great empires, Vos and Pontaine.Will Lucius be prepared to pay his legacy's price and find out who he truly is?","eng","Fantasy","","","Fantasía","90","Fantasy with thieves, shadow magic, and an ancient artifact.","",""
"La Guerra De Los Dioses","Margaret Weis /. Tracy Hickman","Saga/Family, Ciencia ficción, _Biblioteca.Fantasia.4 Comercial","Dragonlance: The Second Generation #2","2.0","Mientras Palin Majere se aventura en el abismo en busca de Raistlin, los Caballeros de Takhisis se convierten en los nuevos seguidores de la Reina Oscura. Será un verano mortal que anuncia el retorno de Caos. En la asamblea de los dioses se toma la decisión de retirar a los dragones del Bien para unificar las fuerzas y evitar la destrucción de Krynn.   
Las novelas de Dragonlance Chronicles están basadas en una serie de campañas de Dungeons & Dragons (D&D)
","eng","Sagas, Science Fiction","Subgenero · Fantasia epica","","Fantasía","90","Novela de Dragonlance; fantasía épica con dragones y dioses.","Dragonlance","1.0"
"Arcanym","Jamie M. Samland","English.Fantasy.Gothic Fantasy, English.Fantasy.Historical Fantasy, Themes.Enemies-to-Lovers, Themes.Gaslamp Fantasy, _Biblioteca.Fantasia.Contemporanea","","1.0","<p>Elvan, eldest of House Galmoth is content to stay in and always eager to jump into character. Some day, he will find a facade that suits him, one that meets his mother's expectations of him. He's spent the last two years playing investigator, raking through ledgers to clear his mother's name while ignoring his family business and noble House crumbling around him. When the last servant quits, Elvan is forced back into the world and must choose between continuing his fruitless investigation and saving his home from the collectors.</p><p> </p><p>On his last lead, he meets Drace, a lonely shopkeeper who sweeps him away on a flight from the royal inquisitors - the same man that arrested Elvan's mother.</p><p>They dive deep into the kingdom of Spheris, shrouded by the smog of rising industry, lit by the flicker of gas lamps. Where the magic users must practice their art in secret, away from the eyes of the crown.</p><p> </p><p>After discovering their intertwined pasts, Elvan and...","eng","","Ambientacion · Victoriano, Subgenero · Steampunk, Tono · Oscuro","","Fantasía","80","Steampunk fantasy with secret magic and noble intrigue.","",""
"Loki","Mike Vasich","Fantasy.Magic, Ficción Histórica, Retellings, adventures, Fantasy.Mythology, fantasía, sobrenatural, Ciencia ficción, _Biblioteca.Fantasia.Contemporanea","","1.0","Dios de la Maldad, Padre de la Mentira, Heraldo de la Destrucción. Exiliado y torturado por los dioses, Loki jura venganza. Invocará al mítico lobo Fenrir y a la legendaria serpiente de Midgard, y junto a ellos dirigirá un ejército de gigantes y muertos de Niflheim contra Thor, Odín y el resto de los Aesir. Con el poder del ser más destructivo de los Nueve Mundos bajo su mando, Loki no descansará hasta que Asgard caiga y los dioses mueran a sus pies.
","spa","Fantasy.Magic, Historical Fiction, Retellings, Fantasy.Paranormal, Adventure, Fantasy, Science Fiction, Fantasy.Mythology","","","Fantasía","90","Norse mythology dark fantasy focusing on Loki's vengeance.","",""
"Jade Man's Skin","Daniel Fox","Fantasy, Fiction, General, dragons, _Biblioteca.Fantasia.Contemporanea","","1.0","<h3>From Publishers Weekly</h3><p>Building on the brilliantly subtle groundwork laid in 2009's <em>Dragon in Chains</em>, Fox's Chinese fantasy series continues as the now-unchained dragon threatens human civilization. Han, the one-time apprentice scribe who freed the dragon, is still tied to her mind. The young emperor, in exile on the island of Taishu, finds the beast is both protector and jailer, while general-turned-pirate Li Ton discovers the hard way that he has other, more immediate enemies from his past. When a sea goddess intervenes, she is no friend of the dragon, but she may be even less kind to the people. Readers who enjoyed Fox's delicate descriptions and leisurely prose will be thrilled to find more of the same, along with greater depth of story as the numerous characters are pulled together by schemes and destiny. <em>(Mar.)</em> <br />Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. </p><h3>Review</h3><p>“High-stakes action, well drawn characters, and a gorgeously painted landscape. This is the kind of fantasy I love to read.”—Kate Elliott, author of *Crown of Stars<br />*  </p><p><em>From the Trade Paperback edition.</em></p>","eng","Fantasy, Fiction, General, Dragons","Paranormal · Dragones, Subgenero · Fantasia epica","","Fantasía","95","Fantasía épica china con dragones, sin romance central.","Dragon in Chains","1.0"
