title,authors,comments,tags,languages,series,series_index,#info,#world,#clasificacion,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Dueño del deseo","Kinley MacGregor","El sueno de Emily siempre habia sido ser esposa y madre. Lamentablemente, su padre tenia otros planes para su futuro. Pero cuando este se enfrenta a uno de los hombres mas poderosos de Inglaterra, el rey Enrique II decide que la mejor forma de mantener la paz es entregarla como rehen politico a Draven, senor de Ravenswood. Draven no sabe lo que es la gentileza. Criado para ser invencible, ha dedicado su vida a servir a la corona. Ahora ha jurado a Enrique II que no tocara un solo cabello de Emily, ya sea por enfado o por deseo. Si solo ella lo dejara en paz En cambio, Emily lo persigue sin pausa, obsesionada con la idea de convertirlo en su esposo. Pero el matrimonio es algo que el no puede permitirse, especialmente a causa de la maldicion familiar que tine su sangre.
","3KH: c 500 to c 1000 CE, Genero · Romance historico","spa","Brotherhood of the Sword & MacAllister","1.0","","","Dinamica · Proximidad forzada, Dinamica · Prohibido","","Romance histórico","95","Hostage situation, forced proximity, historical romance.","",""
"Caballero oscuro","Kinley MacGregor","Un hombre de armas   
Caballero de confianza del rey Enrique, Stryder de Blackmoor es un hombre de acción, un campeón cuyo bello rostro atrae todas las miradas femeninas, líder además de la Hermandad de la Espada, una sociedad secreta encargada de repatriar a escondidas a los cruzados hechos prisioneros por los árabes. 
Una doncella esquiva   
En un torneo organizado por el monarca Stryder se encuentra inesperadamente con una dama que encarna la frivolidad que él tanto detesta: Rowena, la única mujer trovadora, a quien desprecia por su aparente superficialidad y por su indisimulado desprecio al mundo de los caballeros. 
La decisión del rey   
Rowena, por su parte, ha jurado que sólo se casará con un trovador, con un hombre sensible capaz de componer dulces canciones de amor con las que conquistar su alma. Y es imposible que ese hombre sea Stryder de Blackmoor... Harto de los conflictos y altercados que tanto revuelo causan en su corte, el rey encuentra una ingeniosa solución que servirá para unir a la orgullosa Rowena con el más fiel de sus vasallos.
","3KH: c 500 to c 1000 CE, Genero · Romance historico","spa","Brotherhood of the Sword & MacAllister","5.0","","","Dinamica · De odio a amor/Bully, Dinamica · Protector","","Romance histórico","95","Historical medieval romance, enemies-to-lovers between knight and troubadour lady.","Brotherhood of the Sword","1.0"
"El Retorno del Guerrero","Kinley MacGregor","Consagrada por entero a su pueblo y a su patria, la indomable reina Adara no está dispuesta a consentir que un mercenario le arrebate su corona. Sin embargo, la única manera que tiene de proteger lo que es suyo es buscar el amparo del hombre con el que fue casada en la infancia. 
Christian de Acre, un caballero orgulloso y atormentado, sólo debe fidelidad a la misteriosa Hermandad de la Espada, y no tiene ningún deseo de reinar sobre nada ni nadie excepto sobre sí mismo. Pero ¿qué hacer con la misteriosa extranjera que ha penetrado en sus aposentos con la finalidad declarada de seducirle primero y rogarle después que la acompañe como paladín a su reino... o que, al menos, la haga concebir un heredero? 
Aunque no puede abandonarla a su suerte ante los enemigos que la acechan, Christian no osa sucumbir a los deseos de su cuerpo. Pero ¿cómo rechazar una pasión que es justamente suya y el éxtasis que le espera en los besos de Adara?
","3KH: c 500 to c 1000 CE, Genero · Romance historico","spa","Brotherhood of the Sword & MacAllister","6.0","","","Dinamica · Matrimonio concertado, Dinamica · Segunda oportunidad","","Romance histórico","95","Childhood marriage reunited, Queen and warrior seeking her crown.","Brotherhood of the Sword","1.0"
"Jazmines para un canalla","Scarlett O'Connor","La señorita Agnes Holland ha puesto lo mejor de sí para consagrarse como una auténtica solterona. Tal tarea ha requerido de constancia, disciplina y de una disimulada inteligencia. Para la mayoría, la muchacha es un completo fracaso social sin ninguna perspectiva matrimonial. Para ella, no es más que un triunfo, el preludio a la libertad que tanto añora. Junto a sus amigas, tiene planes que les permitirá conquistar la independencia, una que no se encuentre atada a los hombres, ni a las normas impuestas.¡Oh, querida Agnes! Si deseas hacer reír al destino, solo cuéntale tus planes. 
Una gran piedra en el camino y una única alternativa: matrimonio. 
Lord Tremblay, el vizconde de Meldrum, es el candidato perfecto. Viudo, con un hijo, anclado en los estándares sociales más arcaicos y dócil como una gacela. Sería el indicado, si no fuera por un pequeño detalle. Su hermano. El Honorable Bastien Tremblay, que de honorable tiene poco y de canalla tiene mucho. 
Un malentendido. 
Una boda impensada. Un acuerdo para nada romántico.Él era un canalla, y ella... ella era la esposa perfecta para esa clase de granuja.
","Ambientacion · Victoriano, Genero · Romance historico","spa","Floreros y Canallas","1.0","","","Dinamica · Matrimonio fingido/conveniencia, Arquetipo · Bad boy, Ambientacion · Regencia","","Romance histórico","95","Matrimonio por acuerdo entre solterona y canalla.","Floreros y Canallas","1.0"
"Camelias para un canalla","Scarlett O'Connor","¿Han oído alguna vez hablar de desgracias afortunadas? Pues bien, aunque no lo crean, existen. La señorita Natalie McAdam y lord Raphael Becket pueden dar fe de ello. 
Esta es su historia, una que dio inicio tiempo atrás, cuando sus caminos se cruzaron en la infancia. Pero, como lo único constante en la vida es el cambio, lo que fue una hermosa amistad se transformó en una confesa enemistad. 
Ella, una simple campesina, solterona, con aires de independencia.Él, un auténtico canalla, futuro heredero, un libertino con título y honores.¿Casarse con él? Nunca. Los canallas no aman.¿Casarse con ella? ¡Por los cielos, no! ¿Con esa muchachita insulsa? Jamás. 
Vaya pena, la buenaventura tiene otros planes. Puede ser un acierto u otra horrible prueba del destino... Tendrán que averiguarlo. 
Fingían no amarse, no necesitarse, sin embargo... allí se encontraban, jugando al escondite de las emociones. 
Una nueva entrega de la serie Floreros y Canallas con el sello que caracteriza a Scarlett O'Connor. Se puede leer de manera independiente.
","Ambientacion · Victoriano, Genero · Romance historico","spa","Floreros y Canallas","2.0","","","Dinamica · Enemigos a amantes, Arquetipo · Bad boy, Ambientacion · Regencia","","Romance histórico","95","Romance histórico con canalla y campesina, enemigos a amantes.","Floreros y Canallas","1.0"
"Narcisos para un canalla","Scarlett O'Connor","Lo había oído un centenar de veces de boca de sus padres... Tu inocencia será nuestra condena. Y quizás, no se equivocaban, pues esa inocencia la sentenció a un matrimonio con el peor de los canallas. Lindsay White poseía muchos anhelos y pensaba ir a por cada uno de ellos... comenzando por una hermosa magnolia nocturna resguardada en el secreto invernadero de Lady Loretta. ¿Pueden creerlo? ¿Una magnolia nocturna? No halló la flor... en su lugar, encontró a Jonas Hudson, el barón de Cowrnell, un ser despreciable, un canalla de pura cepa, un granuja traicionero. Su pasado lo condenaba, sus enemigos lo confirmaban. 
Una treta. Un encuentro inesperado. Un beso equivocado. Así inicia esta historia. La pregunta importante es... ¿Cómo terminará? Nunca imaginó que la perfección se podía hallar en los errores. La incorrecta, la inapropiada, la hija de comerciantes que horrorizaba a los esnobs de Londres era la indicada para él.
","Ambientacion · Victoriano, Genero · Romance historico","spa","Floreros y Canallas","3.0","","","Dinamica · Enemigos a amantes, Arquetipo · Bad boy, Ambientacion · Regencia","","Romance histórico","95","Encuentro inesperado y beso equivocado entre inocente y canalla.","Floreros y Canallas","1.0"
"Entre el honor y el deseo","Zahara C. Ordóñez","«Aunque pensé que jamás tendría el corazón preparado para volver a amar, el tiempo que pasé con usted me demostró que me equivocaba».  Una amistad.   Un secreto guardado por años.   Un amor dulce e inesperado.  La noticia del regreso del capitán Atkins supone un disgusto para Charles Cathworth. Su hermana, lady Georgiana Cathworth, lleva años enamorada de él. No puede consentir que se vean, pues sabe que Atkins solo recibe honores en la guerra: en el amor es un tirano.  Por desgracia, Charles tiene asuntos urgentes que resolver y debe abandonar Bath. Con el fin de que ella no caiga en las garras del capitán, pide ayuda a uno de sus mejores amigos: James Munro, vizconde Caverty.  James, creyéndola una misión sencilla, accede. Georgiana es como una hermana y desea protegerla, aunque eso signifique no contarle una verdad que, de revelarse, haría que todo se tambalease entre ellos.  Con cada acercamiento, su forma de verla cambia y sus sentimientos le llevarán a debatirse entre lo que siente y lo que debe hacer. Entre el honor de caballero que ha de custodiarla y el deseo de tenerla en sus brazos.  El amor y la amistad lucharán por callar las voces que los atormentan para que pueda hablar el corazón.","Ambientacion · Regencia, Genero · Romance historico","spa","Noches de romance en Bath","1.0","","","Dinamica · Prohibido, Dinamica · Amigos a amantes, Dinamica · Protector, Tono · Angst/Drama emocional, Ambientacion · Regencia","","Romance histórico","100","Romance regencia donde un vizconde protege a la hermana de su amigo, surge el amor en secreto.","",""
"Entre La Razón Y El Sentimiento","Zahara C. Ordóñez","«Estaría dispuesto a olvidar hasta mi nombre por un solo instante en sus brazos. Por una sola de sus sonrisas. ¿Qué ha hecho conmigo?».  Una atracción inesperada.   Un amor arrollador.   Una promesa que amenaza con convertirlo en imposible.  Charles Cathworth, marqués de Adler, pospone el asunto del matrimonio hasta que su padre, en su última voluntad, le pide que se despose. La dama que sugiere es apropiada y, siendo un hombre juicioso, le promete que lo hará.  Entretanto, conoce a la joven londinense lady Susan Hartfield, que despierta su interés como ninguna otra. Sin embargo, la distancia que ella impone le hace pensar que no es mutuo, por lo que se propone olvidarla y seguir con sus planes.  Susan siente algo por Charles, pero vive presa de su tutor, lord Sathorne, que la amenaza con airear su mayor secreto. Con esos grilletes carga hasta Bath, su nueva residencia, donde su belleza y fortuna la convierten en un codiciado objeto de deseo.  Cuando Charles y Susan se ven de nuevo, lo que sienten se desborda y la atracción los sume en la encrucijada de elegir entre la razón y el sentimiento.  Las circunstancias juegan en su contra, haciendo que todo parezca imposible, pero...   ¿acaso contempla el lenguaje del amor tal palabra?","Ambientacion · Regencia, Genero · Romance historico","spa","Noches de romance en Bath","2.0","","","Dinamica · Prohibido, Tono · Angst/Drama emocional, Ambientacion · Regencia","","Romance histórico","100","Atracción prohibida entre un marqués prometido y una joven bajo la tutela de un tirano en Bath.","",""
"Entre el deber y el placer","Zahara C. Ordóñez","«Sé que no hay forma de que podamos estar juntos y, aun así, el deseo de estar a su lado por siempre es más fuerte que nunca».  Un escándalo.   Dos reputaciones en juego.   Una impetuosa pasión.   Un amor tan imprevisto como indebido.  Henry Trebarwith, cuarto hijo del conde de Trevanyon, es un joven brillante y responsable. Sin embargo, su fuerte sentido de la justicia con los más necesitados, algo que no casa en una sociedad egoísta y vanidosa, lo ha puesto en riesgo de escándalo en más de una ocasión.  Cassandra Emery es una reputada actriz, talentosa, bella y... desgraciada en el amor. Acumula desengaños esperando que alguien la ame de verdad, cosa que teme jamás sucederá. Tras su peor decepción, dispuesta a plantarle cara al que la engañó, se cuela en el club de caballeros. Una falta al decoro inadmisible.  Henry media por ella; un acto que traerá consecuencias y los llevará a la más impetuosa de las pasiones, hasta que sus corazones tengan que elegir entre el deber y el placer.  Porque... ¿cómo va el hijo de un respetado conde, famoso por su defensa de la moral, a verse envuelto en una relación con una actriz? ¿Cómo va ella a arrojarse a otro amor imposible?","Ambientacion · Regencia, Genero · Romance historico","spa","Noches de romance en Bath","3.0","","","Dinamica · Prohibido, Tono · Picante/Erotico, Ambientacion · Regencia, Dinamica · Amor a primera vista","","Romance histórico","100","Novela de amor en la Regencia entre un hijo de conde y una actriz, con pasión prohibida y escándalo.","",""
"Entre La Tentación Y El Orgullo","Zahara C. Ordóñez","«¿Recuerda cuando dije que no la besaría, aunque fuera la última persona en la Tierra? Le hará feliz saber que pienso tragarme mis palabras».  Dos corazones enfrentados.   Una rendición que se firmará al calor de un beso.  La familia de Arthur Belaford, dedicada al comercio, ha medrado hasta tener abiertas las puertas de la aristocracia. Hombre de fortuna y posición tiene un futuro prometedor. Y es un seductor sin remedio.  El interés por sus conquistas le dura poco, hasta que en una fiesta de máscaras se topa con una interesante desconocida que no cae rendida a él, lo que le irrita y apasiona a partes iguales.  Azucena Kellington tiene claro que no caerá en manos de cualquiera y menos en las de Arthur, a quien reconoce. Sabe que es un canalla y el heredero de los enemigos de su padre, con quienes mantiene una guerra comercial. Andar con él atenta contra el orgullo familiar. Aunque quizá, la tentación de entrar en su juego, solo para doblegarlo, sea demasiado sugerente.  Él aceptará el ardoroso desafío de conquistarla y sus corazones se debatirán entre la tentación y el orgullo, sin saber que, en esa guerra, solo hay un ganador: el amor.","Ambientacion · Regencia, Genero · Romance historico, Tono · Picante/Erotico","spa","Noches de romance en Bath","4.0","","","Dinamica · Enemigos a amantes, Dinamica · Prohibido, Tono · Picante/Erotico, Ambientacion · Regencia","","Romance histórico","100","Rivalidad familiar y seducción entre un heredero comerciante y la hija de su enemigo en la Regencia.","",""
