title,authors,tags,series,series_index,comments,languages,library_name,#world,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Mientras París Dormía","Ruth Druart","Genero · Ficcion historica, Subgenero · Belica/Guerra","","1.0","**A family's love is tested when heroes-turned-criminals are forced to make the hardest decisions of their lives in this unforgettably moving story of love, resistance, and the lasting consequences of the Second World War.** ** *After. Santa Cruz, California, 1953.* ** Jean-Luc and Charlotte Beauchamps have left their war-torn memories of Paris behind to live a quiet life in America with their son, Sam. They have a house in the suburbs, they've learned to speak English, and they have regular get-togethers with their outgoing American neighbors. Every minute in California erases a minute of their lives before -- before the Germans invaded their French homeland and incited years of violence, hunger, and fear. But their taste of the American Dream shatters when officers from the U.N. Commission on War Crimes pull-up outside their home and bring Jean-Luc in for questioning.  ** *Before. Paris, France, 1944.* ** Germany has occupied France for four years. Jean-Luc works at the railway station at Bobigny, where thousands of Jews travel each day to be ""resettled"" in Germany. But Jean-Luc and other railway employees can't ignore the rumors or what they see on the tracks: too many people are packed into the cars, and bodies are sometimes left to be disposed of after a train departs. Jean-Luc's unease turns into full-blown panic when a young woman with bright green eyes bursts from the train one day alongside hundreds of screaming, terrified passengers, and pushes a warm, squirming bundle into his arms.  Told from alternating perspectives, *While Paris Slept* reflects on the power of love, loss, and the choices a mother will make to ensure the survival of her child. At once a visceral portrait of family ties and a meditation on nurture's influence over identity, this heartbreaking debut will irreversibly take hold of your heart.","spa","LFiccion","","","Tono · Angst/Drama emocional","","Romance histórico","85","Historia de amor y resistencia en la Segunda Guerra Mundial.","",""
"La Historia De La Nostalgia","Natàlia Romaní","Genero · Ficcion historica","","1.0","La Universidad de Pembroke es el punto de inicio de esta historia, el lugar en el que convergen las vidas de Laura, David y Sarah, y donde se origina un conflicto entre la pasión y la lealtad, el amor y la amistad. Relato de ese triángulo, *La historia de la nostalgia* también es la crónica de un viaje en el que el lector visitará los archivos polvorientos de las casas de Park Slope, Brooklyn, compartirá tertulias en el Café de San Marco de Trieste y recorrerá las carreteras de Croacia y Serbia hasta los confines más remotos del viejo continente, siguiendo el curso del Danubio de la mano de Claudio Magris. Hecha de realidad y ficción, de crónicas, diarios y entrevistas, *La historia de la nostalgia* traza la geografía sentimental de un territorio y un tiempo perdidos en la memoria, e intenta dar con la manera que nos permita aferrarnos a la vida sin que esta nos someta a asu voluntad, pues ¿cómo es posible mantenerse íntegro y noble, bueno, cuando el vendaval de la Historia azota sin piedad?  **«A la altura de los clásicos como John Williams y su** Stoner **.» Librería París  «Romaní perfila un puñado de personajes peculiares y fascinantes que enseguida atrapan la atención del lector.» Librería Diógenes  « **La historia de la nostalgia** tendrá este otoño un hueco preferente en las recomendaciones de los libreros.» Popular Libros   **","spa","LFiccion","","","Dinamica · Triangulo amoroso, Dinamica · Amor no correspondido/Pining","","Ficción general","90","Novela literaria sobre nostalgia y un triángulo amoroso; sin elementos de género.","",""
"Mi sombría Vanessa","Kate Elizabeth Russell","","","1.0","En 2017, durante la ola de acusaciones de agresión sexual contra hombres poderosos, Vanessa Wye se ve envuelta en una polémica. Su antiguo profesor de Literatura, Jacob Strane, ha sido acusado de abuso sexual por otra exalumna. El escándalo desencadena en Vanessa una multitud de recuerdos del tiempo que pasó en Browick, un idílico internado en Maine, cuando tenía quince años. Allí, en sus días de estudiante ambiciosa y precoz, mantuvo una aventura con el magnético profesor Strane, que logró persuadirla del efecto irresistible que ejercía sobre él. Ahora, casi dos décadas más tarde, Vanessa se enfrenta a una decisión imposible: callar y convencerse a sí misma de que su relación con Strane fue consensual, o enfrentarse al trauma que marcó su adolescencia y tratar de reconstruir su vida. ¿Será capaz de negar aquel primer amor y rechazar finalmente al hombre con quien ha seguido en contacto a lo largo de los años? ¿Fue amante o fue víctima? ¿Es posible que el hombre que ella amó y que juró que la amaba, fuera un perverso y manipulador? Alternando entre el presente y el pasado, la memoria y el trauma, los deseos y las emociones de una adolescente al descubrir el poder de su cuerpo, Kate Elizabeth Russell se revela como una magnífica narradora. «Mi sombría Vanessa» es una novela de lectura inquietante sobre uno de los debates que mejor definen nuestra época: el consentimiento, la victimización y la fina línea que los separa.
","spa","LFiccion","","","Tono · Trauma/Salud mental, Dinamica · Prohibido, Dinamica · Age gap","","Ficción general","90","Novela literaria sobre abuso profesor-alumna; exploración psicológica, no thriller.","",""
"La Linterna De Papel","Will Burns","Genero · Ficcion realista, Genero · Romance contemporaneo, Subgenero · Thriller psicologico, Temas.Crítica Social, Temas.Narrativa de Viaje Interior","","1.0","El narrador de esta historia es un poeta de treinta y largos que trabaja en el pub de sus padres, La Linterna de Papel. La llegada de la pandemia les ha obligado a cerrar temporalmente, así que no tiene más ocupación que pasear por las colinas que rodean su pueblo. Vive en una aldea del centro de Inglaterra cercana a Chequers #la residencia de vacaciones del primer ministro británico#, una zona dónde el éxito se mide en los logros de los hijos, el precio de los coches y la exuberancia de los jardines. Alejada de la gran ciudad, allí reina la sensación de que el confinamiento es apenas un largo puente festivo.  Aislado y desubicado, el narrador evoca durante sus paseos un pasado traumático y un presente sin brújula. Mezclando sus reflexiones con la descripción de raves clandestinas en valles remotos o con la historia de las grandes mansiones cercanas, la maestría literaria de Burns logra reflejar un momento clave en la vivencia colectiva del siglo XXI, con el trasfondo del impacto del confinamiento, las consecuencias del cambio climático y los implacables efectos del capitalismo tardío.","spa","LFiccion","","","Ambientacion · Small town","","Ficción general","90","Narrativa literaria sobre confinamiento y reflexiones personales.","",""
"El Instante Antes Del Impacto","Glòria de Castro","Genero · Ficcion realista, Subgenero · Thriller psicologico","","1.0","**UNA AUTORA REVELACIÓN, LA VOZ DE UNA GENERACIÓN LLENA DE DUDAS, DE RABIA Y, A PESAR DE TODO, DE PASIÓN** **GANADORA DEL PREMIO LLIBRETER** «Se tiene que leer. En su absoluta quietud hace que te den ganas de volar».   **Leonor Watling** «He encontrado entre sus páginas una angustia, una crudeza y una verdad similares a las que sentí con obras como *Estupor y temblores* , de Amélie Nothomb».   **Luna Miguel** *¿De qué va la vida, así, en general, la vida de la gente? No la de la gente a la que le pasa algo extraordinario que cambia toda su existencia, sino la de la mayoría...* El año en que se produce una ola de suicidios en la sede francesa de una compañía de telecomunicaciones, la protagonista de esta historia entra a trabajar para su filial en Madrid. Pronto se ve sometida a mobbing: no le encargan ni una sola tarea. Cada día llega a la oficina y se enfrenta a seis horas (jornada reducida por maternidad) de nada. Todo ese tiempo vacío le sirve para idear, en respuesta, un plan de venganza personal contra la economía global y las políticas laborales. Una íntima rebelión contra la sociedad. Tiene cuarenta años, dos hijos pequeños y un marido argentino en una dudosa gira como estrella de rock, y, a la espera de un despido o una indemnización que no acaban de llegar, durante trescientos sesenta y cinco días se irá dando cuenta de cómo, al ir tachando artículos de su lista de la compra, van cayendo las verdades universales, la fe en las políticas de conciliación y en la eficacia de los champús, y las ideas preconcebidas de una felicidad que quizá puede ser posible. Grito anticapitalista escrito con humor negro y pasión, esta novela, que fue finalista del Premio Clarín, habla de una caída, del amor, de cosas afiladas y de una orquídea muerta. **La crítica ha dicho:** «He leído *El instante antes del impacto* y he encontrado entre sus páginas una angustia, una crudeza y una verdad similares a las que sentí con obras como *Estupor y temblores* , de Amélie Nothomb. Me atrevería a decir que Glòria de Castro es mucho más incisiva que la novelista belga. Su crítica a la precariedad laboral, a las falsas famas y a los hilillos de baba de la posverdad se pasean por este libro que también es un homenaje a las cansadas, a las reprimidas, y a las que en definitiva nos hemos ganado el derecho a hacerlo saltar todo por los aires.»   **Luna Miguel** «Una autora revelación, considerada ya la voz de una generación.»   Harper's Bazaar «Un libro diferente, de ritmo ágil, donde el estilo atrapa desde la primera página.»   **César Suárez,** Telva «Una novela incisiva, radical, que da voz a una generación dispuesta a rebelarse contra una sociedad hiperconsumista.»   **Enrique Bueres,** GQ «Esta novela va de todo lo que importa. Es un impacto lector. Un impacto de verdad, de realidad, de sinceridad arrolladora, de literatura desbocada. […] La narradora de esta novela es muy superior a Madame Bovary, porque todo lo que hay en estas letras es de ella: el dolor, el miedo, la risa, la incertidumbre, el desasosiego, los orgasmos, los dos hijos, los jefes cabrones, la honestidad, la rabia. Gracias […] a Glòria de Castro por haber escrito a corazón abierto, transformando la sangre en tinta como decía T.S. Eliot.»   **Marta Fernández**","spa","LFiccion","","","Arquetipo · Rockstar/Celebridad, Subgenero · Thriller psicologico","","Ficción general","85","Novela sobre mobbing laboral y rebelión personal, sin género.","",""
"Lecciones De Química","Bonnie Garmus","Genero · Ficcion realista, Genero · Humor","","1.0","Elizabeth Zott es madre soltera y estrella a su pesar del programa de cocina de televisión más seguido de Estados Unidos. El enfoque inusual de Elizabeth para cocinar, combinar una cucharada de ácido acético con una pizca de cloruro de sodio, resulta revolucionario. Sin embargo, a medida que su éxito aumenta lo hacen también sus enemigos, porque Elizabeth no sólo está enseñando a las mujeres a cocinar sino también desafiándolas a alterar el orden establecido. Lecciones de química es una novela original y adictiva que desentraña de manera inteligente y entretenida la espinosa cuestión de la igualdad de género y la necesidad de ser uno mismo. 
","spa","LFiccion","","","Dinamica · Padre/Madre soltero/a","","Ficción general","90","Novela sobre una mujer científica y su programa de cocina, crítica social.","",""
"Hatchet Girls","Diana Rodriguez Wallach","Ambientacion · Small town, Genero · Terror, Subgenero · Cuento de hadas/Retelling, Subgenero · Policiaco/Detective","","1.0","For fans of Kara Thomas and Courtney Summers comes a supernatural horror that reminds us family can be our saving grace--or our biggest curse. Set one-hundred years after the Borden murders, this propulsive thriller imagines what a similar trial might look like today.  When the parents of the richest family in Fall River are found murdered by axe, the town is quick to blame newcomer Vik. It doesn’t help that he was caught standing over the bodies with blood on his hands and can’t remember anything about the night in question.  But Vik’s sister, Tessa, knows that Vik would never be capable of such a gruesome crime. Haunted by the mistakes she made that led her family to Fall River in the first place, she sets out to prove her brother’s innocence.  Her search for answers will lead her into a sprawling, supposedly cursed forest, as well as the childhood home of Lizzie Borden—the original axe murderess of Fall River.","eng","LFiccion","","","Subgenero · Asesino en serie, Tono · Oscuro","","Misterio·Thriller·Terror","80","Terror sobrenatural con asesinatos en serie, ambientado en Fall River.","",""
"The Secret Diary","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","","1.0","**Two women. One house. And a secret that spans decades…   
The past merges with the present in an unforgettable, poignant story of love, loss and courage in this beautifully written story set between World War Two and the present day.**   
She steps into the room and it’s like going back in time.   
Catapulting her right into the heart of the 1940s.   
The spindle of the record player frozen and ready to play. The flowery wallpaper faded but intact. A soldier’s uniform pressed and hung on a door, coal still in the fireplace.   
A floorboard creaks beneath her and she notices a small desk in the corner of the room. She opens the top drawer and runs her hands along the edges, something catching at her fingertips. A hidden compartment. And behind it, the soft edges of a book.   
As she dusts it off, she can see it has a red leather covering, the pages yellowing with age. She realizes it’s a diary. Some of the pages have been torn out. The first entry has 16th June 1945 printed in neat little letters at the top. Below it, in hurried, untidy script are the words:   
‘My name is Nancy Jones. And I have a secret…’
","eng","LFiccion","","","Tono · Angst/Drama emocional","","Romance histórico","80","Novela con romance histórico en la Segunda Guerra Mundial, descubrimiento de un diario.","",""
"The Midwife of Auschwitz","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","Women of War","1.0","Auschwitz, 1943: As I held the tiny baby in my arms, my fingers traced the black tattoo etched across her little thigh. And I prayed that one day this set of numbers, identical to her mother’s, would have the power to reunite a family torn apart by war…   
Inspired by an incredible true story, this poignant novel tells of one woman’s fight for love, life and hope during a time of unimaginable darkness.   
Ana Kaminski is pushed through the iron gates of Auschwitz beside her frightened young friend Ester Pasternak. As they reach the front of the line, Ana steps forward and quietly declares herself a midwife – and Ester her assistant. Their arms are tattooed and they’re ordered to the maternity hut. Holding an innocent new-born baby, Ana knows the fate of so many are in her hands, and vows to do everything she can to save them.   
When two guards in their chilling SS uniforms march in and snatch a blond-haired baby from its mother it’s almost too much for Ana to bear. Consoling the distraught woman, Ana realises amidst the terrible heartache there is a glimmer of hope. The guards are taking the healthiest babies and placing them with German families, so they will survive. And there are whispers the war is nearly over… Ana and Ester begin to secretly tattoo little ones with their mother’s numbers, praying one day they might be reunited.   
Then, early one morning, Ana notices the small bump under Ester’s thin striped clothing…
","eng","LFiccion","","","Subgenero · Belica/Guerra, Tono · Trauma/Salud mental","","Ficción general","80","Novela histórica sobre una comadrona en Auschwitz; sin romance central.","",""
"The Midwife of Berlin","Anna Stuart","Genero · Romance historico, Subgenero · Belica/Guerra","Women of War","2.0","Auschwitz, 1943: I stroke my beautiful baby’s hair. It’s a miracle it’s blonde because it will keep her alive, it will keep her safe. Soon they will come and take Pippa out of Auschwitz-Birkenau – and out of my arms. But while there’s life, there’s hope I might find my daughter again…  An incredible story of one woman’s courage and determination to reunite her family in the aftermath of surviving Auschwitz.  1945, Ester Pasternak walked out of the gates of Auschwitz barely alive. She survived against devastating odds, but her heartbreaking journey is only just beginning. In the camp, Ester gave birth to a tiny fair-haired infant, only for her precious baby to be snatched from her and taken to a German family. Now the war is over, Ester longs to find her little girl.  But Europe is in chaos, Jewish families have been torn apart and everyone is desperately searching for their loved ones. In every orphanage and hospital she visits, Ester searches the faces of tear-stained toddlers; each mop of blonde hair and pair of blue eyes she sees sets her heart racing…  But as the months and the years tick by, the possibility of finding her daughter shrinks smaller and smaller. And Ester starts to wonder if little Pippa is even safe, or whether the miracle that saved her has now put her in even more danger?  Will Ester ever be able to find the child whose tattoo matches her own? Or is she already too late…  A completely gripping and emotional WW2 novel of one woman’s bravery and determination to hold on to hope in a world torn apart by war. Perfect for fans of The Tattooist of Auschwitz , The Alice Network and The Nightingale .","eng","LFiccion","","","Subgenero · Belica/Guerra, Tono · Trauma/Salud mental","","Ficción general","80","Continuación de la historia de Ester; búsqueda de su hija tras la guerra.","",""
