title,authors,tags,series,series_index,comments,languages,#subjects,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Doubt the Stars","Emily Selleck","Arquetipo · Realeza, Genero · Ciencia ficcion","Shakespeare In Space","1.0","**A hologram cries murder. A hidden lie. Can she expose her father's killer?**
Crown Princess Henley is reeling after the sudden death of the king. But when her mother quickly marries her father's brother, Henley's shock gives way to anger. And after a ghostly hologram cries betrayal, she takes on a galactic quest for revenge.
While Henley scours the space station for evidence, she alienates her girlfriend with an obsession for justice. And after her plot to draw out a confession ends in bloodshed, Henley's search could end in banishment. With vengeance in her grasp, how far will one daughter go to avenge her father?
Doubt The Stars is the first book in the Shakespeare in Space series of captivating LGBT sci-fi novels. If you like brooding suspense, strong female characters, and fascinating retellings, then you'll love Emily Selleck's engrossing tale.
Buy Doubt The Stars and expose a murder most foul today!
","eng","","","Ciencia Ficción","95","Misterio de asesinato en estación espacial, romance secundario, trama central de investigación.","Shakespeare in Space","1.0"
"Day After Disaster, The Changing Earth Series, Uncut Edition","Sara F. Hathaway","dysotopian, family bonding, Genero · Ciencia ficcion, Subgenero · Distopia/Apocaliptico, Subgenero · Supervivencia, survivalism, Tono · Angst/Drama emocional, wilderness","","1.0","An apocalyptic, adventure featuring a woman struggling, to find her husband and son, dead or alive, among successive natural disasters.","eng","","","Ciencia Ficción","90","Natural disaster apocalypse, family survival, no romance.","The Changing Earth Series","1.0"
"Yo viví en el año 3000: (novela de un viaje posible)","Werner Wehr & Juan de Luzón","Genero · Ciencia ficcion, Genero · Fantasia","","1.0","Una astronave parte de Tierra rumbo a las estrellas. A bordo de ella viajan varios seres humanos, unidos por la magna empresa común, y un hombre -el protagonista- obsesionado por el recuerdo de un crimen reciente... La nave estelar alcanza sus objetivos y consigue colonizar un lejano planeta galáctico que gravita en torno a una estrella. Pero al regresar a la Tierra, los efectos de la contracción einsteniana del espacio-tiempo se dejan sentir. A pesar de que para los tripulantes de la astronave sólo han transcurrido unos años, en la Tierra corre ya el año 3000 de la Era Cristiana ... Un mundo desconocido les aguarda. Y, en él, la revolución, la lucha y la muerte... y el recuerdo de los seres amados, muertos hace mucho, muchísimo tiempo.
","spa","","","Ciencia Ficción","90","Classic sci-fi about time dilation and colonization.","",""
"Death Ship","James Follett","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest","Earthsearch","2.0","Four million years ago the crew of the starship Challenger abandoned the search for their home Earth - the birthplace of their grandparents - and settled on the third planet of a solar system on the fringe of the galaxy, leaving Angel One and Angel Two, the Challenger's control computers, to continue the search in the starship.   
The four settlers called their new home Paradise. With seven-tenths of its surface covered in water, deep blue skies, and an abundance of lakes, rivers and lush forests, the planet is unlike the Earth that the four settlers used to study in the Challenger's vast hologram and video library.
","eng","","","Ciencia Ficción","100","Colonización espacial, naves estelares, sin magia.","",""
"¡¡Guerra en las profundidades!!","Carles Quintana i Fernández & Carles Quintana i Francia","Arquetipo · Realeza, Genero · Ciencia ficcion","Aznar/La nueva generación","7.0","La acción se inicia en Redención, coincidiendo con la partida de Valera a la reconquista del Sistema Solar oprimido por la Bestia Gris, por lo que en uno de los primeros capítulos tenemos ocasión de asistir a la conmovedora ceremonia de despedida del Autoplaneta.<br /> <br /> Los protagonistas son el capitán Alfonso Ríos y la teniente Irene Llosa, miembros de una escuadrilla de “topos”, vehículos subterráneos creados expresamente para explorar las cuevas y galerías que horadan la corteza de Redención, en una labor de vigilancia ante un posible resurgimiento de la Humanidad de Silicio.<br /> <br /> Vale la pena comentar que un personaje secundario muy interesante es el comodoro Josafat Aznar, teniendo así ocasión de conocer el pasado de este oficial que más adelante llegaría a almirante y finalmente a convertirse en el dios Haakón, malvado co-protagonista de la novela de George H. White MANDO SINIESTRO.<br /> <br /> Tras unas primeras misiones rutinarias, asistimos a un extraordinario descubrimiento: una red de galerías artificiales que si bien en un principio se cree han sido creadas por los Ricardo Balmer y la princesa Tinné Anoyá.<br /> <br /> Es en ese mundo subterráneo donde tienen lugar una serie de aventuras que justifican el título de la obra: “Guerra en las profundidades”, entremezclándose angustiosas exploraciones por aquel dédalo de galerías con feroces combates estilo comando entre los soldados del capitán Ríos y los hombres de cristal, que estaban aprovechándose de la tecnología encontrada en aquel complejo subterráneo.<br /> <br /> Finalmente los protagonistas regresan a la superficie, sin haber podido tampoco descubrir los principios en que se basaban las máquinas de aquellos extraños semidioses ni conocer exactamente cuál es la fuerza real de la Humanidad de Silicio y sus intenciones, quedando así la situación planteada para una posible continuación que nos lleve a conocer como se desarrolló finalmente la lucha entre los redentores y los hombres de cristal.","spa","","","Ciencia Ficción","95","Aventura militar subterránea en autoplaneta, combates y exploración, sin romance central.","",""
"The Only Happy Ending for a Love Story Is an Accident","João Paulo Cuenca","Genero · Ciencia ficcion, Genero · Fantasia, Genero · Romance contemporaneo","","1.0","Set in Tokyo, in a not-too-distant future, this novel tells the story of Shunsuke, a salaryman, and his complicated relationship with his mad poet father, Mr. Okuda, whose hobby is spying on his son. When Shunsuke falls in love with Iulana, a maelstrom of jealousy is set in motion that culminates in abduction and death. In poetic and imaginative language, Cuenca subtly interweaves reality and fiction, creating a dreamlike world whose palpable characters, including a silicone doll, leave a lasting impression. Written like a crime novel, full of odd events and reminiscent of Haruki Murakami's work, this disturbing, kaleidoscopic story of voyeurism and perversion draws the reader in from the very first page.","eng","","","Ficción general","85","Literatura futurista ligera con elementos oníricos y crime, pero el peso está en la psicología y relaciones; sin género puro. Regla 6.","",""
"Dead Space: Martyr","Brian Evenson","Gaming, Genero · Ciencia ficcion, Genero · Fantasia, Genero · Terror, Publico · Adultos (+18), Space, Subgenero · Aventura/Quest, Subgenero · Zombi/No muertos, Video Games","","1.0","**The first novel in the multi-million dollar video game franchise Dead Space** When geophysicist Michael Altman hears of the mysterious signal emitted from deep within the Chicxulub crater, he can not resist the lure of an undiscovered artifact. With his girlfriend Ada, he joins a team excavating the underwater crater, determined to find the source of the baffling message. The artifact, named ""The Black Marker,"" possesses a mysterious power. Close proximity to the stone causes strange occurrences: visions of the dead, vivid dreams, and violent murders. When Michael secretly obtains a small piece of the marker, he too begins to dream.  The Black Marker has chosen him to hear his message: You need to prove yourself worthy of eternal life, or the slate will be wiped clean on Earth.  This is the story of the origin of ""The Black Marker,"" the foundation of the Church of Unitology, and a discovery that will change the world.","eng","","","Ciencia Ficción","90","Novelización del videojuego, horror extraterrestre y artefacto alienígena.","Dead Space","1.0"
"Alaska Republik","Stoney Compton","Genero · Ciencia ficcion, Genero · Fantasia, Subgenero · Aventura/Quest, Subgenero · Belica/Guerra","","1.0","SUMMARY: Alaska , 1989. In a world where Alaska was still a Russian possession, and North America contains nine separate nations, revolution has broken out in Alaska . The Russian yoke has been thrown off for the moment, but the Czar is not going to surrender his valuable possession without a fight. In an exciting alternate history novel filled with military action, Captain Grigorivich Plesnett and his allies must continue his fight to birth a new nation-and fight off an old tyranny, in battles ranging from the Southeastern Inside Passage to the frozen Yukon.","eng","","","Ficción general","85","Alternate history of Alaska; no supernatural or futuristic tech.","",""
"Trolley","Grig Larson","Ambientacion · Victoriano, Genero · Ciencia ficcion, Genero · Fantasia, Genero · Ficcion literaria","","1.0","Unlike most girls, Heather January had yet to outgrow her tomboy phase. Startled to find herself so quickly on the cusp of womanhood, she still desires to work with the cogs and machinery used to power her world, even though such things are forbidden to women. In choosing to rebel against a male dominated culture, she discovers a dark secret beyond imagining. When Heather becomes aware of forbidden knowledge spanning centuries, she finds herself an unwitting pawn in a much larger and horrifying secret that threatens all of civilization. Behind the access panels of a polite society, between the teeth of the gears of progress lies the path to insanity... and Heather's terrifying destiny. A new steampunk novel from Grig Larson.
","eng","","","Ciencia Ficción","90","Steampunk sin magia, tecnología anacrónica. Sin romance central.","",""
"Cal de Ter","P. J. Herault","Cal de Ter, Genero · Ciencia ficcion, Genero · Fantasia","Cal de Ter","7.0","FNA 1281
  

Cal et Giuse de Ter, les fameux héros devenu dieux d'une planète lointaine sont à nouveaux sortis de leur sommeil cryogénique. Car les satellites de surveillance les ont avertis qu'un vaisseau étranger s'était mis en orbite autour de Vaha. Une menace à laquelle il convient de répondre immédiatement, car les étrangers pourraient troubler la civilisation autochtone par une intervention inconsidérée, et surtout qui dérangerait les rêves utopistes des deux compères. Mais à peine se mettent ils en orbite autour de la planète que leur vaisseau est abattu par les voyageurs étrangers. Les deux amis arrivent à s'enfuir dans un module de survie, accompagnés de leurs androïdes. Puis, contraints de sauter en parachute, ils se retrouvent à la surface de Vaha sans rien, si ce n'est leurs combinaisons spatiales et quelques armes, tout en étant poursuivis par des chasseurs ennemis. Une difficile lutte pour la survie s'engage, à l'issue de laquelle ils découvriront que les anciens propriétaires sont venus demander leur dû, et que leurs vieux compagnons de route ne sont pas ce pour quoi ils ont été conçus...
","eng","","","Ciencia Ficción","85","Aventura espacial, criogénesis, sin romance.","",""
