title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"A Kiss to Stop a Wedding","Sarah Mallory","","","1.0","Engaged to a viscount, Flora is the envy of every debutante. But her husband-to-be’s cruel streak makes him anything but desirable. When Flora meets Matt Talacre, the dashing owner of Bellemonte Pleasure Gardens, she discovers what desire truly feels like…after he sets her body ablaze with a single look! Yet Flora knows that she can’t act on their intense connection—her hateful betrothed is privy to a family secret, which means that she can never walk away. Unless Matt can help her…starting with a moonlit kiss at a masquerade ball!
","mobi-asin:2137804e-92cc-4e2b-9f3d-2dd04037ad59","eng","","A Kiss to Stop a Wedding","","Romance histórico [REVISAR]"
"A Prior Engagement","Elizabeth Mansfield","","","1.0","Genevra Hazeldine, at twenty-eight, accepted her inevitable spinsterhood after jilting so many suitors, despite her widowed mother Celia's continued efforts to thwart those plans. Jan would rather live alone playing her violin than spend a lifetime with someone whom she didn't love. When Jan and her mother travelled to Bath to celebrate her young cousin's betrothal, she was completely unprepared to discover that Belinda was betrothed to Jan's first jilt, the Marquis Ollenshaw, the only man Jan will ever love.  

","mobi-asin:5dfd643d-57fc-4cf8-bd00-3353325592bc","eng","","A Prior Engagement","","Romance histórico [REVISAR]"
"A Fine Scottish Spell","Maeve Greyson","","","1.0","Emily never meant to time travel—again. But one misfired spell, fueled by frustration and longing for a life that no longer feels whole, flings her straight into an alternate 18th-century Scotland where magic thrives, myths walk the land, and the country she thought she knew has become the ruling power of a very different world. In this enchanted realm, Emily discovers more than magic—she discovers him.
Gryffe MacStrath, fierce Chieftain of Clan MacStrath and Grand Chieftain of the Defenders of the Veil, claims she is his fated mate. Bound by destiny, driven by duty, and drawn to a woman from a world he doesn't understand, Gryffe is everything Emily didn’t know she needed: strength, loyalty, and a burning passion that defies time itself. But in a world where fate rules and danger lurks behind beauty, Emily must choose: fight to return to the life she knew—or embrace a love that could rewrite her future in a land ruled by legend.
","mobi-asin:4d1ba718-7905-45d2-95ab-3d6e691ee07a","eng","","A Fine Scottish Spell","","Fantasía [REVISAR]"
"The Secret Love of a Gentleman","Jane Lark","","","1.0","A past scandal and a broken heart have left Lady Caroline Kilbride hiding away from the world, in the safety of her brother’s home. But when a devilishly handsome newcomer arrives for the summer, she finds herself surprisingly drawn to him.
Rob Marlow, a man determined to carve his own path in life, never expected to be intrigued by his brother-in-law’s dependent sister. Yet in Caro he sees courage, intelligence and a spark of the woman she once was. Friendship blossoms into something more passionate, but when the truth of Caro’s painful history resurfaces, will she retreat into the shadows or fight for her happy ever after?
","mobi-asin:4d1ca647-942d-46b0-918d-db09f3e6da53","eng","","The Secret Love of a Gentleman","","Romance histórico [REVISAR]"
"Elysium","L. V. Brooks","","","1.0","He crossed an ocean to come home to her. She spent twenty years learning how to live without him. The war might be over, but the hardest part is just beginning. The man who left is not the man who returned, and the woman who waited is not the woman he remembers. Love might have brought them back to each other, but is love enough to mend what the years have broken? Enough to protect what they’ve fought so hard for? Odysseus and Penelope have more than just oceans to bridge after decades apart - will they be able to protect what is most dear to them?
","mobi-asin:af848ad2-5b07-4e66-ad5e-c09a1af32405","eng","","Elysium","","Romance contemporáneo [REVISAR]"
"Word of the Wicked","Mary Lancaster","","","1.0","Silver and Grey’s inquiry service is proving so popular that Constance and Solomon have been working apart on separate cases and missing each other. So, they jump at the opportunity to investigate together in the village of Sutton May, where a spate of anonymous letters is causing problems.
Only then Solomon’s brother David turns up with an unlikely tale of killing the same man twice, and suddenly they have two mysteries to solve, involving wicked words and even more wicked actions. They need to hide David from the law until they can ascertain his innocence - and track down the anonymous letter writer before ill-feeling erupts into violence. No wonder they have no time for their wedding! Unless, that is, they are ready to take the time.
","mobi-asin:72e8fe07-9283-4b38-b167-1bf8f07181ed","eng","","Word of the Wicked","","Misterio·Thriller·Terror [REVISAR]"
"Her Temporary Duke","Tessa Brookman","","","1.0","Lady Charlotte only meant to trade places with her twin sister for a week. She never expected to inherit a London season or a scandalous engagement to a roguish Duke she’s never met.
Duke Seth has been jilted twice—and plans to make it a third. Until his bride-to-be arrives with fire in her eyes and secrets on her tongue. She is not the woman he remember and yet, she is everything he can’t resist. Yet what begins as a careful deception soon becomes a dangerous game of desire. And neither of them is ready for what happens when their passion finally catches fire.
","mobi-asin:ce15caaf-d385-493c-a414-0bc08cc15b28","eng","","Her Temporary Duke","","Romance histórico [REVISAR]"
"A Match of Misfortune","Jess Heileman","","","1.0","Cecily Bradshaw has despised Nash Markham since before they met. His captivating smile and overdone charms might blind others from the insufferable tease he is, but not Cecily. Only once, in the naïveté of youth, did her resolve momentarily falter, and she is determined it will never happen again. Especially not when, years after their first meeting, Nash returns to England a wealthier and even more devastatingly handsome gentleman than when he left.
Nash Markham has always been a man of remarkable good fortune, except where it concerns Cecily. It is not that he dislikes his fiery adversary, for he finds her utterly intriguing and an absolute delight to vex, but upon his return from India, she seems to have determined that he is the most tiresome man in all of England. No, in all the world over. But when Nash’s luck takes a drastic and sudden downturn, it is Cecily he must rely on to help him restore his reputation before all he’s built is lost. As reliance gives way to a mutual affinity, the adversaries question if their match of misfortune is actually a fortuitous stroke of luck or if it will ultimately prove their downfall.
","mobi-asin:e4d1101e-1e72-4267-983f-71481b2399c5","eng","","A Match of Misfortune","","Romance histórico [REVISAR]"
"The Bride Stone","Sally Gardner","","","1.0","1796\. Duval Harlington, recently released from prison in France, is on his way home. Memories of the tranquil family estate kept his spirits high through his worst days in La Force, so it is no small sorrow to return and find Muchmore thrown into chaos. His despicable father, he learns, has died. And while he has left the estate to Duval, there is one small stipulation: he must be married, or else lose everything.
With only two days and seven hours to find a wife, devoted bachelor Duval is prepared to walk away. But then he stumbles upon a wife sale, with women being bought and sold like chattels, Duval is horrified by what he sees. Until he lays eyes on one intriguing figure. Duval makes an extravagant bid, and he and Edmée are married with minutes to spare. But little does Duval know, this is only the beginning of his troubles. For Edmée is not who she says she is, and her secrets will soon threaten to dismantle everything he holds dear…
","mobi-asin:dc979446-664c-451d-b77f-fe484cde6ca3","eng","","The Bride Stone","","Romance histórico [REVISAR]"
"Hazard a Guest","Ava Devlin","","","1.0","Ember Donnelly is not a woman who needs rescuing. Ten years ago, she turned a derelict gambling hell into one of the most infamous establishments in London, and she’s outplayed every man who’s tried to take it from her—until now. When a ruthless rival makes a dangerous play for all she holds dear, Ember must seek out aid from the last person in the world she wants to ask for help.
Joseph Cresson is a quiet, meticulous barrister with a well-known blushing weakness for the formidable Miss Donnelly. But a year in revolutionary Lisbon has left him stronger, steadier, and surprisingly difficult to fluster. He’s still a man of principle—he’s just no longer afraid of breaking a few rules to do what’s right. Like keeping Ember safe. Or finally telling her how he feels. The plan is simple: avoid detection by the enemy, stop a hostile takeover, and keep an errant earl and a mischievous debutante out of the trouble served up on every passing platter at a party like this one. Joe and Ember are about to learn that at Blackcove, even the sharpest players can’t rig every game—and when hearts are on the table, all bets are off.
","mobi-asin:9843b2f5-efea-4f04-b237-64d08b53a34f","eng","","Hazard a Guest","","Romance contemporáneo [REVISAR]"
"Win Me, My Lord","Sofie Darling","","","1.0","Ten years ago, Lord Branwell Mallory was young and in love with the perfect future ahead of him. Now he’s an injured and scarred ex-soldier with a future he barely knows how to build. The past, however, isn’t quite finished with him yet.
Once upon a time, Lady Artemis Keating believed in true love. Since then, she’s discovered a knack for helping injured creatures. But she never expected Bran would be one of them—especially after he left her without a word, alone and desperate. Forced to work together, Bran and Artemis discover their past isn’t what either of them believed. As passion reignites and they discover each other anew, can trust blossom and true love finally prevail?
","mobi-asin:bc25d57b-e65d-453e-ba62-7885185e6b99","eng","","Win Me, My Lord","","Romance histórico [REVISAR]"
"My Best Friend's Earl","Bethany Bennett","","","1.0","The one thing Constance Martin wants most to avoid is a boring life. She walks her cat with a leash in Hyde Park and even called off her wedding at the altar to stop what would have been a monotonous marriage. So when an aristocratic friend comes into the store asking for help throwing over her fiancé, Constance is both sympathetic and eager for the excitement to come. What could be more fun than plotting ways to get a stuffy—but very handsome—earl to break an engagement?
Oliver Vincent, Earl of Southwyn, likes his orderly life of duty and logic. Everything’s falling into place; all that’s left is marrying the girl next door. Except the girl next door is increasingly reluctant. But marriage is a business deal, after all, and Oliver is determined to keep moving forward with the plan. If only he wasn’t so distracted by her friend—a stunning woman best described as chaos incarnate. She thinks marriage should be an adventure, and he views it as a transaction. But Oliver can’t seem to remember the downsides of falling when Constance is near.
","mobi-asin:d8417f95-0b0f-4aa8-9a8d-f1c4ef54a04c","eng","","My Best Friend's Earl","","Romance histórico [REVISAR]"
"An Earl Like You","Anna Bradley","","","1.0","Lady Harriet Parrish never dreamed of having a London season. She’s been content to live a life of comfortable obscurity in her sleepy corner of Kent, but when her dearest childhood friend, the newly crowned Earl of Windham ends their secret correspondence and embarks on a ruinous path of debauchery, Hattie braves the grime and gossip of Town to snatch him back from the brink of destruction.
Cassian Fitzgerald has never belonged to anything or anyone. Born to an aristocratic father and a humble mother, he’s spent a lifetime straddling two different worlds. He only ever felt truly at home during the fleeting summer he spent in Kent picking wildflowers at Hattie Parrish’s side. But they’re no longer children, and he’s sworn to give her up forever rather than see her tainted by the notorious Windham wickedness that haunts his every step. But Cass soon finds the past has a way of creeping into the present when Hattie appears unexpectedly in London, her deep blue eyes as hypnotizing as ever. When secrets, lies and an explosive scandal threaten to shatter Hattie’s reputation, Cass will do whatever he must to protect the only lady who’s ever been home to him.
","mobi-asin:4572deb4-2578-41ac-b6a7-b6041d6e6666","eng","","An Earl Like You","","Romance histórico [REVISAR]"
"The Nanny's Handbook to Magic and Managing Difficult Dukes","Amy Rose Bennett","","","1.0","Emmeline Chase, 25-year-old widow and new alumna, may be more high-spirited than the Academy would like. Few graduates, however, could turn a mismanaged teleportation onto a duke’s rooftop into an offer of employment. But Emmeline’s circumstances, along with her desperation to support her bankrupt, incarcerated father, have made her dauntless. Which seems the primary qualification to work for expert horologist Xavier Mason, Duke of St. Lawrence, and manage his three rambunctious wards. Yet Emmeline soon discovers that the nobleman’s heart-melting voice and captivating mind present an entirely different sort of trouble. She cannot risk losing her license by fraternizing with her employer/
Xavier’s wards have sent two nannies packing in a month thanks to frogs, firecrackers, and general mayhem. In addition, Xavier’s professional reputation is on the line. He’s already considered odd, with his talking raven companion and his fascination with timekeeping instead of pleasure-chasing with his peers. Charming, vivacious Emmeline seems intrigued with his quirks—but Xavier must have absolute peace to design London’s “King of Clocks” for Westminster Palace before the competition closes. Emmeline can no doubt restore order. As long as he doesn’t fall under her spell. Yet, with a possible saboteur in their midst, and the attraction flaring between them threatening to become a deliciously disastrous distraction, a touch of magic may be required.
","mobi-asin:f7be102b-7513-4ff5-bf57-2f63e579a1a1","eng","","The Nanny's Handbook to Magic and Managing Difficult Dukes","","Fantasía [REVISAR]"
"Road Trip with a Rogue","Kate Bateman","","","1.0","Daisy Hamilton's new mission for King & Co., London's premier private investigation firm, is simple: stop heiress Violetta Brand from eloping. But her case is derailed when she mistakenly holds up the carriage of Lucien Vaughan, Duke of Cranford—cynical war hero, infamous libertine, and the very man who broke her heart five years ago.
Lucien’s determined to see his lovestruck nephew married to Miss Brand, but the unexpected appearance of Daisy— the one woman he’s never been able to forget—could ruin his plans. As they follow the runaway couple together, Lucien decides that delaying the headstrong Daisy by any means possible—including seduction—will be his absolute pleasure and hers. After Daisy’s reputation is threatened, Lucien makes a scandalous claim, but when an unexpected enemy threatens her life, he realizes she’s the only woman for him. Their past encounters have made Daisy almost as jaded about love as Lucien himself, and it’s going to take action, not words, to convince this knife-wielding hellion to risk her heart on him again.
","mobi-asin:c54b7b56-0f04-432f-8d80-2444d47e8032","eng","","Road Trip with a Rogue","","Romance histórico [REVISAR]"
"The Mismatch of the Season","Michelle Kenney","","Fairfax Sisters","1.0","Miss Phoebe Fairfax dreams of being as free as her four brothers. When she discovers she is to be wed to a repugnant earl who is old enough to be her grandfather, she decides to embark on a real adventure…Enter the insufferable – and insufferably gorgeous – Viscount Damerel.
","mobi-asin:a5f44ae6-13f0-42b8-8555-c4ea66e12c30","eng","","The Mismatch of the Season","","Romance histórico [REVISAR]"
"The Air Pirate","Guy Thorne","","","1.0","","mobi-asin:5cd4c562-9c9f-488a-9b12-eaa273dae352","eng","","The Air Pirate","",""
"Knocked Up and Locked Down 1: Beneath His Vow","Jessica Ames","","","1.0","Lexi has always been my calm in the storm. My obsession from the moment I made her my wife. I didn’t think I could love her more, until we were staring at two lines on a pregnancy test and my whole universe tilted. 
I never saw myself becoming a father. As president of a motorcycle club, danger rides with me every day and I swore I’d never bring a kid into that. 
but the second I find out Lexi is pregnant, everything changes. 
She was mine before, but now? I’ll put a bullet between the eyes of anyone who so much as breathes in her direction. Protecting her and our baby is my only priority. 
So when danger strikes too close to home, I’ll turn the world to ashes to keep my family safe. 
*This is a high-heat 30,000 word novella featuring an obsessive alpha husband and his pregnant wife. Tropes possessive husband, workplace drama, surprise pregnancy (not just in the epilogue), dirty talking hero, MC light, breeding elements and a man who would raze the world for his woman.
","mobi-asin:ebd6b66f-1d9f-46f2-ad70-1338e4c381e5","eng","","Knocked Up and Locked Down 1: Beneath His Vow","","Romance contemporáneo [REVISAR]"
