title,authors,tags,series,series_index,comments,identifiers,languages,library_name,#language_code,#world,#subtitle,#subjects,#clasificacion,#info,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Ziri: Life Force, A.I.","Carolyn Davidson Hicks","Genero · Ciencia ficcion","","1.0","Our star was dying, and living above ground would soon be impossible. Our world was turning colder and with each life cycle, moving underground was our only hope. We knew the surface would become nothing more than dust and stone over time with very little light to sustain anything living on it. Many of our people built ships and soon traveled to the stars in search of a new home. They were called the privileged or elite who lived above ground. The miners already lived and thrived underground and saw no reason to leave even though they knew they would not get to go. A few elites refused to leave us, so we all joined forces to survive on a planet that held no promise of a future. While our star was dimming, we watched our world being savaged by our own citizens, who flew to the stars to escape their doom. Our planet was stripped and barren as we retreated deeper and deeper into our new underground world. But we had already taken as much technology as we could hold in our new world before the elite left us.   
We had learned to harness the energy from our planet’s core. Our miners connected each section underground, sending lifesaving oxygen, water, heating sources, and more to all areas we inhabited. Those connecting tunnels and caverns were made while we lived upon our surface; joining the miners meant our underground city would grow with everyone's help.   
Many years into the future, a race of aliens called humans discovered our planet. They sent machines that canvassed our world searching for life and resources, all the while ignoring a dying star. When they found the first signs that they could survive, our world became theirs. But when we learned their language and made first contact, everything changed. The humans, along with Ziri, their artificial intelligence planetary scout, and the Ulzerians, would soon work together to save our world. This friendship would allow us to live upon its surface once again sometime in the distant future. In exchange, we would give them a large mass of land to own as theirs, forever. Thus, allowing the humans and Ulzerians to coexist.   
But there will be many obstacles to overcome before saving our world, and many sacrifices will be made. Old enemies and new ones will challenge us. The resources on Ulzeria are in great demand and will attract many tribes to our planet over time. A dimming star never stopped anyone from trying to mine the resources greatly sought after on Ulzeria.   
Read the novel, experience the adventure...
","amazon:B0965YMBJW,goodreads:58215894,mobi-asin:B0965YMBJW","eng","LCienciaFiccion","eng","","","English.Science Fiction","Subgenero · Distopia/Apocaliptico","","Ciencia Ficción","85","Post-apocalyptic sci-fi with underground survival and AI; no magic.","",""
"Skyward","Brandon Sanderson","Ambientacion · Espacial/Space opera, Themes.AI/Sentient Machine, Themes.Fighting the System/Authority, Themes.Hero's Journey, Themes.Rookie Training/Training Montage","Skyward","1.0","'We must not cower in the dark because we're afraid of the spark within us. The answer is not to put out the spark, but to learn to control it'   
Spensa's world has been under attack for hundreds of years. An alien race called the Krell leads onslaught after onslaught from the sky in a never-ending campaign to destroy humankind. Humanity's only defense is to take to their ships and fight the enemy in the skies. Pilots have become the heroes of what's left of the human race.   
Spensa has always dreamed of being one of them; of soaring above Earth and proving her bravery. But her fate is intertwined with her father's - a pilot who was killed years ago when he abruptly deserted his team, placing Spensa's chances of attending flight school somewhere between slim and none.   
No one will let Spensa forget what her father did, but she is still determined to fly. And the Krell just made that a possibility. They've doubled their fleet, making Spensa's world twice as dangerous . . . but their desperation to survive might just take her skyward . . . 
","ff:s/brandon-sanderson/skyward,amazon:1473217857,goodreads:36642458,isbn:9781473217850","eng","LCienciaFiccion","eng","","","Science fiction, Adventure, Fantasy, Sci-fi, Young Adult, Fiction","Ambientacion · Espacial/Space opera, Tono · Angst/Drama emocional","","Ciencia Ficción","95","First book; same space opera classification.","Skyward","1.0"
"Starsight","Brandon Sanderson","Ambientacion · Espacial/Space opera, Themes.AI/Sentient Machine, Themes.Fighting the System/Authority, Themes.Hero's Journey, Themes.Rookie Training/Training Montage","Skyward","2.0","All her life, Spensa has dreamed of becoming a pilot. Of proving she's a hero like her father. She made it to the sky, but the truths she learned about her father were crushing. The rumours of his cowardice are true - he deserted his flight during battle against the Krell. Worse, though, he turned against his team and attacked them.  Spensa is sure there's more to the story. And she's sure that whatever happened to her father in his starship could happen to her. When she made it outside the protective shell of her planet, she heard the stars - and it was terrifying. What she learned turned her world upside down. Everything Spensa's been taught is a lie.  But Spensa also learned a few things about herself - and she'll travel to the end of the galaxy to save humankind if she needs to.  Praise for Brandon Sanderson's #1 New York Times Bestselling Reckoners series:  'Another win for Sanderson . . . he's simply a brilliant writer' Patrick Rothfuss   'Action-packed' Entertainment Weekly   'Compelling . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store' AV Club","amazon:1473217903,ff:s/brandon-sanderson/starsight,isbn:9781473217928,goodreads:42769202","eng","LCienciaFiccion","eng","","","Science fiction, Young Adults (13-18), Adventure, Young Adult, Fantasy","Ambientacion · Espacial/Space opera","","Ciencia Ficción","95","Space opera con naves, pilotos, alienígenas, sin magia ni romance central.","Skyward","1.0"
"Cytonic","Brandon Sanderson","Ambientacion · Espacial/Space opera, Themes.AI/Sentient Machine, Themes.Fighting the System/Authority, Themes.Hero's Journey, Themes.Rookie Training/Training Montage","Skyward","3.0","NEW YORK TIMES **BESTSELLER • The third book in an epic series about a girl who will travel beyond the stars to save the world she loves from destruction from the author of the Reckoners series, the Mistborn trilogy, and the Stormlight Archive.** Spensa’s life as a Defiant Defense Force pilot has been far from ordinary. She proved herself one of the best starfighters in the human enclave of Detritus *and* she saved her people from extermination at the hands of the Krell—the enigmatic alien species that has been holding them captive for decades. What’s more, she traveled light-years from home as an undercover spy to infiltrate the Superiority, where she learned of the galaxy beyond her small, desolate planet home.  Now, the Superiority—the governing galactic alliance bent on dominating all human life—has started a galaxy-wide war. And Spensa’s seen the weapons they plan to use to end it: the Delvers. Ancient, mysterious alien forces that can wipe out entire planetary systems in an instant. Spensa knows that no matter how many pilots the DDF has, there is no defeating this predator.  Except that Spensa is Cytonic. She faced down a Delver and saw something eerily familiar about it. And maybe, if she’s able to figure out what she is, she could be more than just another pilot in this unfolding war. She could save the galaxy.  The only way she can discover what she really is, though, is to leave behind all she knows and enter the Nowhere. A place from which few ever return.  To have courage means facing fear. And this mission is terrifying.","isbn:9780399555855,amazon:0399555862,epl:64088,ff:s/brandon-sanderson/cytonic,revision:1.0,goodreads:57571215","eng","LCienciaFiccion","eng","","","Science fiction, Young Adults (13-18), Adventure, Young Adult, Fantasy","Ambientacion · Espacial/Space opera, Tono · Angst/Drama emocional","","Ciencia Ficción","95","Space opera with starfighters and alien threats; no central romance.","Skyward","1.0"
"Inside Out","Maria V. Snyder","Genero · Misterio/Thriller, Subgenero · Distopia/Apocaliptico, Themes.World Within a World","Insiders","1.0","**Keep Your Head Down.   Don't Get Noticed.   Or Else.** I'm Trella. I'm a scrub. A nobody. One of thousands who work the lower levels, keeping Inside clean for the Uppers. I've got one friend, do my job and try to avoid the Pop Cops. So what if I occasionally use the pipes to sneak around the Upper levels? The only neck at risk is my own…until I accidentally start a rebellion and become the go-to girl to lead a revolution.","amazon:037321006X,isbn:9780373210060,goodreads:7059135,grvotes:25055","eng","LCienciaFiccion","eng","","","English.Science Fiction.Dystopia, Themes.Corporate Dystopia, Themes.World Within a World, Themes.Locked Room Mystery","Subgenero · Distopia/Apocaliptico, Subgenero · Young adult/Juvenil","","Ciencia Ficción","90","Distopía tecnológica en un mundo cerrado, rebelión, sin magia.","Inside","1.0"
"Outside In","Maria V. Snyder","Genero · Misterio/Thriller, Subgenero · Distopia/Apocaliptico, Themes.World Within a World","Insiders","2.0","Me?  A leader?  Okay, I did prove that there's more to Inside than we knew.  That a whole world exists beyond this cube we live in. And finding that led to a major rebellion—between worker scrubs like me and the snobby uppers who rule our world. Make that ruled. Because of me, we're free. I thought that meant I was off the hook, and could go off on my own again—while still touching base with Riley, of course. He's the one upper I think I can trust. But then we learned that there's outside and then there is Outside.  And something from Outside wants In.","isbn:9780373210114,amazon:0373210116,goodreads:8901953,grvotes:14119","eng","LCienciaFiccion","eng","","","English.Science Fiction.Dystopia, Themes.Corporate Dystopia, Themes.World Within a World, Themes.Locked Room Mystery","Subgenero · Distopia/Apocaliptico, Subgenero · Young adult/Juvenil","","Ciencia Ficción","90","Tercer libro de la serie; misma ambientación distópico-científica.","Inside","1.0"
"Inside","Maria V. Snyder","Subgenero · Distopia/Apocaliptico, Themes.World Within a World","","1.0","*The world of Inside is simple. Do your job, stay out of the way and don't dream of anything better. Because as every Scrub knows, there are no other options.   
Until Trella--the Queen of the Pipes, as some call her--gets involved with a revolution that will rock her world....*   
Trella was just doing a favor for a friend--her only friend. Hiding an injured man from the Pop Cops seemed easy enough--though dangerous. But then she discovered that the myths of Outside might be real....   
Being Inside's hero only left Trella with more work. Ducking those responsibilities, she continued to explore her stark world--and found something she never expected. *Strangers.* From Outside...
","grvotes:1043,isbn:9781459219113,goodreads:18884867,amazon:B006H8T30W","eng","LCienciaFiccion","eng","","An Anthology","","Subgenero · Distopia/Apocaliptico, Subgenero · Young adult/Juvenil","","Ciencia Ficción","90","Continuación de la misma serie; entorno distópico tecnológico.","Inside","1.0"
"The Kurtherian Endgame: The Complete Series","Michael Anderle","Ambientacion · Espacial/Space opera, Dinamica · Familia encontrada, Subgenero · Romance alienigena/Sci-fi, Themes.Overpowered Protagonist, Themes.Sentient AI","","1.0","**An alien race attacked her people… they wanted her world. Now, payback is coming after them.** And she’s a *bitch* in every sense of the word.  **Bethany Anne Nacht was changed on Earth almost two hundred years in the past.** The Kurtherians engage in the cosmic great game, where whole worlds are torn asunder in their efforts to prove their own supremacy.  For hundreds of millennia, the Kurtherians at the top have reigned unfettered as they destroyed countless civilizations time and time again.  **Now, a new group is entering the game.** Bethany Anne and her people are playing against extreme odds, but when has that EVER stopped the Queen Bitch?  It’s time to fight for the future of the Universe…   This Set    *Payback is a Bitch   Compelling Evidence   Through the Fire and Flame   All’s Fair in Blood and War   Finish What You Started   Enter Into Valhalla   The Valkyrie Returns   Return Of The Queen   Promises Kept   The Bitch Is Back   Checkmate*","goodreads:197181929,grvotes:321,isbn:9798888786291,amazon:B0CG2CQRRX,ff:a/michael-anderle/kurtherian-endgame-omnibus","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Sentient AI, Themes.Aliens, Themes.Found Family, Themes.Overpowered Protagonist","Subgenero · Belica/Guerra","","Ciencia Ficción","100","Épica espacial de venganza entre especies.","Kurtherian Endgame","1.0"
"Rise of Terry Victor Complete Series Boxed Set","Michael Anderle","Dinamica · Pez fuera del agua, Genero · Ciencia ficcion, Tono · Morally grey/Antiheroe, Tono · Traicion, Tono · Venganza","","1.0","**It’s one stranded ex-lawman against a world full of homicidal psychopaths.** *Psychopaths who might, or might not, be human.* Can retired lawman Terry Victor enjoy his retirement on Earth or will he be drawn into Earth’s problems and be revealed as an alien amongst humans?  Get the complete series today to start his adventures!  \---  Intergalactic lawman Terry Victor is betrayed by fellow officers and sent to a backwater planet on the interstellar arm of the universe.  **In short, he was sent to the planet called Earth.** *Fed up, he quits in a fit of disgust and seeks a peaceful retirement among the humans.* Unfortunately, trouble has a way of finding Terry Victor.  **Keep his head down and away from Earth’s authorities, or help a woman about to be attacked by a gang?** *Can Terry Victor resist the siren call that could ruin his future on this planet?* Is he willing to give up his forced retirement to take on Earth’s troubles?  **Finally, what happens when a string of deaths points to something even he fears?** *Will Terry Victor survive? If he survives, will the authorities realize there is an alien living among them?* **Included in this boxed** Earth BoundAlien ScourgeHuman InsanityValorous EffortDishonorable AngelsNuclear DeterrentClick BUY NOW or READ FOR FREE to dive head-first into this series today!","mobi-asin:B0BQ54P28B,goodreads:75407674,ff:a/michael-anderle/rise-of-terry-victor-complete-series-boxed-set,amazon:B0BQ54P28B,grvotes:330,isbn:9798888781043","eng","LCienciaFiccion","eng","","","English.Science Fiction.Soft Science Fiction, Themes.Fish Out of Water, Themes.Betrayal, Themes.Revenge, Themes.Antihero","Subgenero · Poder alienigena, Ambientacion · Small town","","Ciencia Ficción","100","Alienígena varado en la Tierra, acción y crimen.","Rise of Terry Victor","1.0"
"Opus X: Fleet of One Complete Series Boxed Set","Michael Anderle","Ambientacion · Espacial/Space opera, Subgenero · Aventura/Quest, Subgenero · Espionaje/Espias, Subgenero · Romance alienigena/Sci-fi, Themes.Conspiracy Secret Government","","1.0","**Humanity is wounded and reeling. The elite pillars of society launched a brutal betrayal that almost doomed billions.** As humanity struggles to recover, the paranoid central government has risen and adopted policies that plunge the species into more risk than ever.  *It’s up to two unlikely heroes to save humanity.* Grab this complete series boxed set and join Cyrus and Kat as they fight to prevent the downfall of humanity!  \---  **A chance archaeological discovery on a human frontier colony launches the deadliest race in galactic history.** When the discovery of the ancient artifact is interrupted with surprising violence, the government becomes convinced the finding could unlock the long-lost knowledge of a powerful and ancient extinct alien race.  *It’s up to tough xenoarchaeologist Cyrus and newly-minted spy and ex-soldier Kat to save humanity.* One is obsessed with science and the other with duty. The team must learn to work together with the help of an AI ally who isn’t fond of intelligences limited by such quaint restraints as flesh and blood.  *But they’re not the only ones interested in the discovery.* A dark threat swirls in the shadows, hidden among the smugglers, pirates, and insurrectionists who have grown bolder in the recent years of chaos.  **He will uncover the lost knowledge, no matter the risk. She’s prepared to defend humanity from all enemies. If they can survive their first mission, they might have a chance.** Included in this boxed  Second ContactDark Shadow of RevengeInto The Unknown And BackThe Hidden TerrorGlory and SacrificeThe Nightmare AwakensClick BUY NOW or READ FOR FREE to join the fight for humanity’s future.","goodreads:75561750,grvotes:429,isbn:9798888780923,amazon:B0BP9QF8NC,ff:a/michael-anderle/opus-x-fleet-of-one-complete-series-boxed-set,mobi-asin:B0BP9QF8NC","eng","LCienciaFiccion","eng","","","English.Science Fiction.Space Opera, Themes.Spies and Espionage, Themes.Aliens, Themes.Quest, Themes.Conspiracy Secret Government","Subgenero · Espionaje/Espias, Subgenero · Romantasy","","Ciencia Ficción","100","Arqueología espacial, conspiración y romance secundario.","Fleet of One","1.0"
