title,authors,comments,tags,languages,library_name,series,series_index,#language_code,#info,#world,#subjects,#libreria,#confianza_ia,#motivo_ia,#serie_ia,#serie_ia_index
"Pleasure Unbound","Larissa Ione","**In a place where ecstasy can cost you your life . . .**
She's a demon-slayer who hungers for sensual pleasure-but fears it will always be denied her. Until Tayla Mancuso lands in a hospital run by demons in disguise, and the head doctor, Eidolon, makes her body burn with unslakable desire. But to prove her ultimate loyalty to her peers, she must betray the surgeon who saved her life. 
**Two lovers will dare to risk all.**
Eidolon cannot resist this fiery, dangerous woman who fills him with both rage and passion. Not only is she his avowed enemy, but she could very well be the hunter who has been preying upon his people. Torn between his need for the truth and his quest to find his perfect mate before a horrific transformation claims him forever, Eidolon will dare the unthinkable-and let Tayla possess him, body and soul . . .
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","1.0","eng","","","","Paranormal","95","Misma novela que Oscura tentación, original en inglés; romance paranormal con demonios y cazadores.","Demonica","1.0"
"Oscura tentación","Larissa Ione","<div><p>Déjate llevar por la tentación.  </p> <p>Cautiva en un lugar donde el éxtasis puede costarte la propia vida...<br> Tayla Mancuso es una cazadora de demonios que anhela conocer el placer sexual que siempre le ha sido negado. Herida de gravedad, termina yendo a parar a un hospital dirigido por demonios, donde Eidolon, el jefe de todos ellos, conseguirá que su cuerpo arda con un deseo insaciable. Sin embargo, para probar que sigue siendo leal a los suyos, Tayla tendrá que traicionar al atractivo y peligroso demonio que le ha salvado la vida y que ha logrado hacerla sentir lo que nunca imaginó… Amor.  </p> <p>Dos amantes se verán obligados a arriesgarlo todo…<br> Eidolon es incapaz de resistirse a Tayla, una joven bella y solitaria que despertará en él una furia y pasión como nunca antes había sentido. Pero ella no sólo es su enemiga, sino que muy bien podría pertenecer a un grupo de asesinos que está aniquilando a su gente. Dividido entre la necesidad de dar con la verdad y el deseo de hallar a la compañera que comparta su vida y que impida que se transforme en un monstruo para toda la eternidad, Eidolon tendrá que hacer lo impensable... y dejar que Tayla lo posea en cuerpo y alma.</p></div>  Déjate llevar por la tentación.Cautiva en un lugar donde el éxtasis puede costarte la propia vida...Tayla Mancuso es una cazadora de demonios que anhela conocer el placer sexual que siempre le ha sido negado. Herida de gravedad, termina yendo a parar a un hospital dirigido por demonios, donde Eidolon, el jefe de todos ellos, conseguirá que su cuerpo arda con un deseo insaciable. Sin embargo, para probar que sigue siendo leal a los suyos, Tayla tendrá que traicionar al atractivo y peligroso demonio que le ha salvado la vida y que ha logrado hacerla sentir lo que nunca imaginó… Amor.Dos amantes se verán obligados a arriesgarlo todo…Eidolon es incapaz de resistirse a Tayla, una joven bella y solitaria que despertará en él una furia y pasión como nunca antes había sentido. Pero ella no sólo es su enemiga, sino que muy bien podría pertenecer a un grupo de asesinos que está aniquilando a su gente. Dividido entre la necesidad de dar con la verdad y el deseo de hallar a la compañera que comparta su vida y que impida que se transforme en un monstruo para toda la eternidad, Eidolon tendrá que hacer lo impensable... y dejar que Tayla lo posea en cuerpo y alma.«Larissa Ione ha conseguido crear un fascinante mundo lleno de trepidante sensualidad, oscuridad e ingenio y perversos y atractivos demonios»Lara Adrian, autora de la serie Razas de la Medianoche.«Extremadamente erótico, maravillosamente satisfactorio… Ione sabe bien cómo hacer que el corazón del lector lata a toda velocidad»Cheyenne McCray, autora de Seducida por la magia.","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","spa","LRomanceSciFan","Demonica","1.0","spa","","","","Paranormal","95","Cazadora de demonios y doctor demonio; romance central en hospital sobrenatural; edición en español.","Demonica","1.0"
"Desire Unchained","Larissa Ione","Pleasure is their ultimate weapon . . . 
Runa Wagner never meant to fall in love with the sexy stranger who seemed to know her every deepest desire. But she couldn't resist the unbelievable passion that burned between them, a passion that died when she discovered his betrayal and found herself forever changed. Now, determined to make Shade pay for the transformation that haunts her, Runa searches for him, only to be taken prisoner by his darkest enemy. 
A Seminus Demon with a love-curse that threatens him with eternal torment, Shade hoped he'd seen the last of Runa and her irresistible charm. But when he wakes up in a dank dungeon chained next to an enraged and mysteriously powerful Runa, he realizes that her effect on him is more dangerous than ever. As their captor casts a spell that bonds them as lifemates, Shade and Runa must fight for their lives and their hearts-or succumb to a madman's evil plans.
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","2.0","eng","","","","Paranormal","95","Romance central en Tierra con demonios, ángeles y vampiros. Enemigos que son atados como compañeros de vida.","Demonica","1.0"
"Oscura Traición","Larissa Ione","El placer es su única arma…  
Runa Wagner nunca tuvo la intención de enamorarse de aquel apuesto extraño que parecía conocer cada uno de sus más profundos deseos. Pero se vio incapaz de resistirse a la increíble pasión que ardía entre ellos, una pasión que murió cuando descubrió su traición y vio cómo su vida cambiaba para siempre. Ahora, dispuesta a hacer que Shade pague por la transformación que la persigue desde ese día, Runa sale en su busca... sólo para terminar cayendo prisionera a manos del peor enemigo de su antiguo amante. 
…Y él la utilizará sin piedad  
Como demonio seminus víctima de una maldición que amenaza con someterle a un eterno tormento, Shade creía que ya no volvería a ver a Runa ni a su irresistible encanto. Pero cuando se despierta en una fría y húmeda mazmorra, encadenado al lado de una enfurecida y misteriosamente poderosa Runa, se da cuenta de que el efecto que ella ejerce sobre él es más peligroso que nunca. Y cuando su captor los obliga a unirse como compañeros, Shade y Runa tendrán que luchar para salvar sus vidas y corazones... o sucumbir a los maléficos planes de un cruel perturbado.
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","spa","LRomanceSciFan","Demonica","2.0","spa","","","","Paranormal","95","Misma novela que el libro 1 en español. Romance paranormal con demonios.","Demonica","1.0"
"Oscura seducción","Larissa Ione","<div><p>Tentaciones prohibidas...<br> Serena Kelley es una arqueóloga, una caza tesoros... y una mujer que esconde un secreto. Desde que tenía siete años es la encargada de guardar un poderoso hechizo que consigue que tenga una salud de hierro y que le ha concedido la inmortalidad... siempre y cuando permanezca virgen. Pero Serena ya no es tan inocente como lo era antes, y cuando un peligroso y apuesto extraño consigue llevarle al límite del éxtasis, empieza a preguntarse si por fin ha conocido al hombre al que será incapaz de resistirse.  </p> <p>Deseos fatales...<br> Wraith es un demonio seminus ansioso por matar a cualquiera que ose desafiarle. Pero cuando un antiguo enemigo lo envenena, deberá encontrar a Serena y persuadirla para que le dé el único antídoto capaz de salvarle... el hechizo que ésta custodia. Y así, a medida que Serena comienza a sucumbir a su seducción y Wraith ve como la cura está cada vez más al alcance de sus manos, se da cuenta de una horrible verdad: se está enamorando de la mujer cuya vida deberá sacrificar para salvar la suya propia.</p></div>  <p>FORBIDDEN TEMPTATIONS   </p> <p>Serena Kelley is an archaeologist and treasure hunter-and a woman with a secret. Since she was seven, she's been the keeper of a powerful charm that grants her health and immortality . . . as long as she stays a virgin. But Serena isn't all that innocent. And when a dangerously handsome stranger brings her to the brink of ecstasy, she wonders if she's finally met the one man she cannot resist.   </p> <p>FATAL DESIRES   </p> <p>Wraith is a Seminus demon with a death wish. But when an old enemy poisons him, he must find Serena and persuade her to give him the only known antidote in the universe-her charm. Yet, as she begins to surrender to his seductions and Wraith senses the cure is within his grasp, he realizes a horrible truth: He's falling for the woman whose life he must take in order to save his own.</p>  Tentaciones prohibidas... Serena Kelley es una arqueóloga, una caza tesoros... y una mujer que esconde un secreto. Desde que tenía siete años es la encargada de guardar un poderoso hechizo que consigue que tenga una salud de hierro y que le ha concedido la inmortalidad... siempre y cuando permanezca virgen. Pero Serena ya no es tan inocente como lo era antes, y cuando un peligroso y apuesto extraño consigue llevarle al límite del éxtasis, empieza a preguntarse si por fin ha conocido al hombre al que será incapaz de resistirse. Deseos fatales... Wraith es un demonio seminus ansioso por matar a cualquiera que ose desafiarle. Pero cuando un antiguo enemigo lo envenena, deberá encontrar a Serena y persuadirla para que le dé el único antídoto capaz de salvarle... el hechizo que ésta custodia. Y así, a medida que Serena comienza a sucumbir a su seducción y Wraith ve como la cura está cada vez más al alcance de sus manos, se da cuenta de una horrible verdad: se está enamorando de la mujer cuya vida deberá sacrificar para salvar la suya propia.","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","spa","LRomanceSciFan","Demonica","3.0","spa","","","","Paranormal","95","Romance entre demonio y arqueóloga con un hechizo de virginidad. Elementos prohibidos y proximidad forzada.","Demonica","1.0"
"Passion Unleashed","Larissa Ione","FORBIDDEN TEMPTATIONS 
Serena Kelley is an archaeologist and treasure hunter-and a woman with a secret. Since she was seven, she's been the keeper of a powerful charm that grants her health and immortality . . . as long as she stays a virgin. But Serena isn't all that innocent. And when a dangerously handsome stranger brings her to the brink of ecstasy, she wonders if she's finally met the one man she cannot resist. 
FATAL DESIRES 
Wraith is a Seminus demon with a death wish. But when an old enemy poisons him, he must find Serena and persuade her to give him the only known antidote in the universe-her charm. Yet, as she begins to surrender to his seductions and Wraith senses the cure is within his grasp, he realizes a horrible truth: He's falling for the woman whose life he must take in order to save his own.
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","3.0","eng","","","","Paranormal","95","Misma trama que el libro 3 en inglés. Romance paranormal con demonio y hechizo.","Demonica","1.0"
"Eternity Embraced","Larissa Ione","***Desire...* **  
Demon slayer Andrea Cole has always taken down the demons and vampires she hunts without mercy. But when a fellow slayer is captured and turned into a vampire by a sadistic monster, she must choose between loyalty to her family and the man she loves. 
***Versus Instinct...* **  
Kaden Quinn has dedicated his life to slaying vampires, so when he is turned into one, his greatest nightmare comes to life. And when the woman he loves is thrown into a dungeon with him ― as food ― he must battle new instincts and old desires, and choose between his life, and hers. 
PLEASE NOTE: This is a short novella that originally appeared in *The Mammoth Book of Vampire Romance 2* and the anthology *Vampires in Love*. It has been expanded for its stand-alone digital release. In the Demonica timeline, it falls between book 3, Passion Unleashed, and book 4, Ecstasy Unveiled, though it can easily be read without having read the Demonica novels.
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Formato · Antologia/Relatos, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","3.5","eng","","","","Paranormal","95","Novela corta entre cazadores de demonios y vampiros. Romance con transformación y conflicto.","Demonica","1.0"
"Ecstasy Unveiled","Larissa Ione","*A DEMON ENSLAVED*  
Lore is a Seminus half-breed demon who has been forced to act as his dark master's assassin. Now to earn his freedom and save his sister's life, he must complete one last kill. Powerful and ruthless, he'll stop at nothing to carry out this deadly mission. 
*AN ANGEL TEMPTED*  
Idess is an earthbound angel with a wild side, sworn to protect the human Lore is targeting. She's determined to thwart her wickedly handsome adversary by any means necessary-even if that means risking her vow of eternal chastity. But what begins as a simple seduction soon turns into a passion that leaves both angel and demon craving complete surrender. 
Torn between duty and desire, Lore and Idess must join forces as they battle their attraction for each other. Because an enemy from the past is rising again-one hellbent on vengeance and unthinkable destruction.
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","4.0","eng","","","","Paranormal","95","Romance entre demonio y ángel con misiones opuestas. Enemigos que se vuelven amantes.","Demonica","1.0"
"Sin Undone","Larissa Ione","<p>HER TOUCH IS DEADLY<br> As the only female Seminus demon ever born, master assassin Sinead Donnelly is used to being treated like an outcast. She spent decades enslaved, and now vows she'll die before she'll relinquish her freedom again. Then Sin's innate ability to kill her enemies goes awry: She creates a lethal new werewolf virus that sparks a firestorm of panic and violence. <br> HIS HUNGER CAN'T BE DENIED<br> Half-werewolf, half-vampire Conall Dearghul is charged with bringing in Sin to face punishment for the plague. And she's no stranger: He's bound to her by blood, and the one sexual encounter they shared has left him hungering for her raw sensuality. Worse, Sin is the underworld's most wanted and Con soon learns he's the only one who can help her . . . and that saving her life might mean sacrificing his own.</p>  <div> <p>HER TOUCH IS DEADLY<br>As the only female Seminus demon ever born, master assassin Sinead Donnelly is used to being treated like an outcast. She spent decades enslaved, and now vows she'll die before she'll relinquish her freedom again. Then Sin's innate ability to kill her enemies goes awry: She creates a lethal new werewolf virus that sparks a firestorm of panic and violence. <br>HIS HUNGER CAN'T BE DENIED<br>Half-werewolf, half-vampire Conall Dearghul is charged with bringing in Sin to face punishment for the plague. And she's no stranger: He's bound to her by blood, and the one sexual encounter they shared has left him hungering for her raw sensuality. Worse, Sin is the underworld's most wanted and Con soon learns he's the only one who can help her . . . and that saving her life might mean sacrificing his own.</p></div>","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","5.0","eng","","","","Paranormal","95","Demonio asesino y hombre lobo/vampiro. Romance con virus y cacería.","Demonica","1.0"
"Overkill: Snippets of Demonica Life","Larissa Ione","Free short stories to update readers on the lives of the Demonica characters. 
**Wraith and Serena**  
**Tayla and Eidolon** \- the scene takes place between [Sin Undone](https://www.goodreads.com/book/show/7715664.Sin_Undone ""Sin Undone"") and [Eternal Rider](https://www.goodreads.com/book/show/8843801.Eternal_Rider ""Eternal Rider"")  
**Kaden and Andrea** \- these two chapters are included in the ebook version of [Eternity Embraced](https://www.goodreads.com/book/show/10283764.Eternity_Embraced ""Eternity Embraced""), but are not in the print short story found in [The Mammoth Book of Vampire Romance 2: Love Bites](https://www.goodreads.com/book/show/6369517.The_Mammoth_Book_of_Vampire_Romance_2__Love_Bites ""The Mammoth Book of Vampire Romance 2: Love Bites"")  
**Luc and Kar** \- this scene takes place eight months after the events of [Sin Undone](https://www.goodreads.com/book/show/7715664.Sin_Undone ""Sin Undone"")  
**Shade and Runa** \- this scene takes place between [Rogue Rider](https://www.goodreads.com/book/show/11512713.Rogue_Rider ""Rogue Rider"") and [Reaver](https://www.goodreads.com/book/show/11512718.Reaver ""Reaver"")  
**Reaver** \- his scene takes place between [Rogue Rider](https://www.goodreads.com/book/show/11512713.Rogue_Rider ""Rogue Rider"") and [Reaver](https://www.goodreads.com/book/show/11512718.Reaver ""Reaver"")
","Ambientacion · Mundo dentro de otro, Arquetipo · Guardaespaldas, Dinamica · Amor no correspondido/Pining, Dinamica · Enemigos a amantes, Dinamica · Familia encontrada, Dinamica · Obsesion/Stalker, Dinamica · Prohibido, Dinamica · Segunda oportunidad, Formato · Antologia/Relatos, Genero · Fantasia, Genero · Romance, Genero · Romance paranormal, Paranormal · Angeles y demonios, Paranormal · Fated mates, Paranormal · General, Paranormal · Lobos/Shifters, Paranormal · Vampiros, Tono · Morally grey/Antiheroe, Tono · Picante/Erotico","eng","LRomanceSciFan","Demonica","5.7","eng","","","","Paranormal","95","Compilación de historias cortas que actualizan la vida de los personajes de la serie. Sin trama romántica central nueva, pero contexto paranormal.","Demonica","1.0"
